magnitude,duration,tau*i,w*i
4000,10,,
4000,10,0.04942995,0.004295493
4000,10,0.051805385,0.010778556
4000,10,0.054139197,0.006245674
4000,10,,
4000,10,0.045357108,0.000835361
4000,30,0.047011767,0.001662462
4000,30,0.04942995,0.006388169
4000,30,0.051805385,0.005440605
4000,30,0.054139197,0.002882619
4000,30,,
4000,30,,
4000,60,0.047011767,0.002107705
4000,60,0.04942995,0.003767533
4000,60,0.051805385,0.000476977
4000,60,0.054139197,0.002453973
4000,60,0.056432469,0.002994335
4000,60,0.045357108,0.002443432
4000,120,,
4000,120,0.051805385,0.001361178
4000,120,0.056432469,0.004189009
4000,120,0.060901548,0.002672956
4000,120,,
4000,120,0.045357108,0.000501217
4000,240,0.046942201,0.003927375
4000,240,0.049414821,0.001873254
4000,240,0.051842767,0.005639805
4000,240,0.05422724,0.022142129
4000,240,0.056569396,0.024289865
4000,240,,
5000,10,0.04942995,0.001309575
5000,10,0.051805385,0.001069643
5000,10,0.054139197,0.002441578
5000,10,0.058686249,0.005108347
5000,10,,
5000,10,0.045649212,0.005129608
5000,30,0.04942995,0.003027221
5000,30,0.051805385,0.001208738
5000,30,0.054139197,0.004770253
5000,30,0.058686249,0.014643928
5000,30,,
5000,30,0.045649212,0.002765965
5000,60,0.04942995,0.000807883
5000,60,0.051805385,0.000256632
5000,60,0.054139197,0.001524905
5000,60,0.056432469,0.002872579
5000,60,,
5000,60,0.045649212,0.00037231
5000,120,0.04942995,0.002227048
5000,120,0.051805385,0.006672439
5000,120,0.054139197,0.007014372
5000,120,0.056432469,0.006771757
5000,120,,
5000,120,,
5000,240,0.046901158,0.000953341
5000,240,0.049378066,0.000661887
5000,240,0.051810153,0.010058597
5000,240,0.054198624,0.019569576
5000,240,0.056544643,0.027276527
5000,240,,
6000,10,0.051805385,0.004612709
6000,10,0.054139197,0.01700745
6000,10,0.056432469,0.014988154
6000,10,0.058686249,0.063939474
6000,10,,
6000,10,0.050802139,0.004580709
6000,30,0.051805385,0.00201405
6000,30,0.054139197,0.010761776
6000,30,0.056432469,0.011828001
6000,30,0.058686249,0.016516988
6000,30,,
6000,30,0.050802139,0.010782285
6000,60,0.054139197,0.001333451
6000,60,0.056432469,0.004255282
6000,60,0.058686249,0.002798054
6000,60,0.060901548,0.004510027
6000,60,,
6000,60,0.050802139,0.001797048
6000,120,0.051805385,0.003900811
6000,120,0.054139197,0.002361489
6000,120,0.056432469,0.007855238
6000,120,0.058686249,0.013877676
6000,120,,
6000,120,0.050802139,0.002219882
6000,240,,
6000,240,0.050427132,0.00042756
6000,240,0.052291719,0.004048967
6000,240,0.053764795,0.010874384
6000,240,,
6000,240,0.050802139,0.002008465
7000,10,0.054139197,0.002861479
7000,10,0.056432469,0.006862047
7000,10,0.058686249,0.017453518
7000,10,0.060901548,0.00636236
7000,10,,
7000,10,0.057643994,0.013993377
7000,30,0.051805385,0.002009431
7000,30,0.054139197,0.002420054
7000,30,0.056432469,0.007132917
7000,30,0.058686249,0.005619181
7000,30,,
7000,30,0.057643994,0.011544536
7000,60,0.051805385,0.003893676
7000,60,0.054139197,0.007879158
7000,60,0.056432469,0.003701894
7000,60,0.058686249,0.005278625
7000,60,,
7000,60,0.057643994,0.052562623
7000,120,0.051805385,0.007288357
7000,120,0.054139197,0.003980464
7000,120,0.056432469,0.002371469
7000,120,0.058686249,0.00578946
7000,120,,
7000,120,0.057643994,0.007958733
7000,240,0.047011767,0.001899957
7000,240,0.04942995,0.001872394
7000,240,0.051805385,0.004260096
7000,240,0.054139197,0.009800903
7000,240,0.056432469,0.022211361
7000,240,0.057643994,0.00376072
