,05/04/23 12:15:00,05/04/23 12:30:00,05/04/23 12:45:00,05/04/23 13:00:00,05/04/23 13:15:00,05/04/23 13:30:00,05/04/23 13:45:00,05/04/23 14:00:00,05/04/23 14:15:00,05/04/23 14:30:00,05/04/23 14:45:00,05/04/23 15:00:00,05/04/23 15:15:00,05/04/23 15:30:00,05/04/23 15:45:00,05/04/23 16:00:00,05/04/23 16:15:00,05/04/23 16:30:00,05/04/23 16:45:00,05/04/23 17:00:00,05/04/23 17:15:00,05/04/23 17:30:00,05/04/23 17:45:00,05/04/23 18:00:00,05/04/23 18:15:00,05/04/23 18:30:00,05/04/23 18:45:00,05/04/23 19:00:00,05/04/23 19:15:00,05/04/23 19:30:00,05/04/23 19:45:00,05/04/23 20:00:00,05/04/23 20:15:00,05/04/23 20:30:00,05/04/23 20:45:00,05/04/23 21:00:00,05/04/23 21:15:00,05/04/23 21:30:00,05/04/23 21:45:00,05/04/23 22:00:00,05/04/23 22:15:00,05/04/23 22:30:00,05/04/23 22:45:00,05/04/23 23:00:00,05/04/23 23:15:00,05/04/23 23:30:00,05/04/23 23:45:00,05/05/23 00:00:00,05/05/23 00:15:00,05/05/23 00:30:00,05/05/23 00:45:00,05/05/23 01:00:00,05/05/23 01:15:00,05/05/23 01:30:00,05/05/23 01:45:00,05/05/23 02:00:00,05/05/23 02:15:00,05/05/23 02:30:00,05/05/23 02:45:00,05/05/23 03:00:00,05/05/23 03:15:00,05/05/23 03:30:00,05/05/23 03:45:00,05/05/23 04:00:00,05/05/23 04:15:00,05/05/23 04:30:00,05/05/23 04:45:00,05/05/23 05:00:00,05/05/23 05:15:00,05/05/23 05:30:00,05/05/23 05:45:00,05/05/23 06:00:00,05/05/23 06:15:00,05/05/23 06:30:00,05/05/23 06:45:00,05/05/23 07:00:00,05/05/23 07:15:00,05/05/23 07:30:00,05/05/23 07:45:00,05/05/23 08:00:00,05/05/23 08:15:00,05/05/23 08:30:00,05/05/23 08:45:00,05/05/23 09:00:00,05/05/23 09:15:00,05/05/23 09:30:00,05/05/23 09:45:00,05/05/23 10:00:00,05/05/23 10:15:00,05/05/23 10:30:00,05/05/23 10:45:00,05/05/23 11:00:00,05/05/23 11:15:00,05/05/23 11:30:00,05/05/23 11:45:00,05/05/23 12:00:00,05/05/23 12:15:00,05/05/23 12:30:00,05/05/23 12:45:00,05/05/23 13:00:00,05/05/23 13:15:00,05/05/23 13:30:00,05/05/23 13:45:00,05/05/23 14:00:00,05/05/23 14:15:00,05/05/23 14:30:00,05/05/23 14:45:00,05/05/23 15:00:00,05/05/23 15:15:00,05/05/23 15:30:00,05/05/23 15:45:00,05/05/23 16:00:00,05/05/23 16:15:00,05/05/23 16:30:00,05/05/23 16:45:00,05/05/23 17:00:00,05/05/23 17:15:00,05/05/23 17:30:00,05/05/23 17:45:00
max_amp,0.005693103641769676,0.006843519531462724,0.005755886627913133,0.005880124073774259,0.00607728330410764,0.005488831636478552,0.005635566986860236,0.005875876234453662,0.0056349828187541315,0.005862831436588762,0.005664552491028608,0.005605019519364117,0.005729311240494043,0.005687350242519544,0.005577373537888892,0.006048035769665541,0.005628719501384034,0.005955802281610328,0.005627752193752572,0.00630357017257556,0.0058187937396829885,0.005698803608337605,0.005821495762747937,0.005824138172782459,0.005631458810949462,0.005490174775483001,0.005972968127321472,0.004945547001194005,0.00518439757006834,0.005166148671117071,0.005693702026120744,0.005452791044070944,0.0053741348330384195,0.005541271145047554,0.005195040998290277,0.004904645818204637,0.0050722411303976,0.005280229624363367,0.005399835330107386,0.004808775144225035,0.005479773297704376,0.004816897066703228,0.0047949663509275564,0.004968436708463049,0.004896592389548956,0.0048640869850707065,0.00535656722168104,0.00525817870109399,0.005735520122028053,0.00483395050935003,0.004793620973483326,0.00527226801582463,0.004975407572323104,0.005089811979134147,0.005268809979053855,0.0050854686194370755,0.00511476211072334,0.005491039395287344,0.005284525217770012,0.005537489950651375,0.0055180278580062815,0.00500880423945137,0.005074448694077866,0.0056302505067118746,0.005024403683614497,0.005480943029233109,0.004848642531218392,0.005102885457620052,0.005208092672274606,0.005546037326329813,0.005160093989590419,0.005485387682436203,0.005108524148815111,0.005316097723983509,0.005387986817592843,0.005044033241841537,0.005354713303109053,0.005556786970186789,0.005522751204002857,0.006066933681868706,0.0064512192916333,0.0062318899157349505,0.005739148810747529,0.006125941208837361,0.006804513352197669,0.006851864036428825,0.005703844087007994,0.005768551781564984,0.006809508327411199,0.005827445152528575,0.006386084152235564,0.006163996572442815,0.0059039864589900785,0.006572879115175789,0.00689359762500074,0.007128151993033531,0.008525396403848626,0.007186603852541569,0.005968676614472201,0.005378854354310113,0.005390172801197892,0.006123708131934085,0.00556026099432173,0.005379797637529569,0.005411004470776809,0.005964824841212976,0.006001069827837223,0.006416069917607555,0.006001739637489954,0.0062295787209558275,0.0056620026325768825,0.005487693380750454,0.006103723875155717,0.005473588614142755,0.0061428915149683745,0.005518732791544179,0.005879605322536389,0.005479233958277059,0.018290475754508442
mean_amp,0.004633336587545534,0.004733464339542913,0.004578239531905086,0.004559366390083781,0.004649575543191438,0.004415834580851429,0.004371905986671335,0.004613919418277634,0.004723238766212936,0.0045363337643185364,0.0044825778839686125,0.004546433150668999,0.004453492987981133,0.004560022716060424,0.0044916720710880915,0.004676461647074593,0.004563935557047676,0.004681224864298083,0.004619746170868364,0.004509898989690028,0.004534983917133423,0.0045124521743079545,0.004554707272667921,0.004509635197435299,0.004558110991357248,0.004544797977760274,0.004558667646621814,0.0042656796333440765,0.00419128148657659,0.004171334883121539,0.0041853974906965975,0.004178751925214213,0.004220784066526663,0.004175405628083454,0.004174674306255757,0.0041750553517246455,0.004162052246384949,0.004095699279330585,0.004206904458171896,0.004143102604053965,0.004231435893105988,0.003967802777499386,0.0039017200212786824,0.003963214775791586,0.003927703741082994,0.003991361641519899,0.003981035043471343,0.004059026951424042,0.004143203289372156,0.0040356362495841454,0.003987085574267366,0.00409547102252111,0.0040583729683675495,0.004036932778476881,0.004012844578377421,0.004124051865364256,0.004063263496693155,0.0041312519969614004,0.004140705816415655,0.00414330067555785,0.004160425645394789,0.004162620623449303,0.0040975287864056424,0.0041773227579979975,0.004171405575263586,0.004169583539205973,0.004145510155656471,0.004251528328055176,0.004164969564606771,0.004215719685663504,0.004133462012533714,0.004170847734615675,0.004151679574726493,0.004296999618064582,0.004163785026292976,0.0041682351312849605,0.004144711755404863,0.00420017808287867,0.0042803560324766714,0.00431919377321501,0.004496745266513931,0.004382987387143612,0.004381303294647792,0.004548718243554458,0.004816858337540367,0.004648129695894126,0.004630053220213178,0.004484398057068315,0.0047698734477575975,0.004695287005602886,0.0047828484362275915,0.0047556546333190055,0.004882230067911928,0.00491509715850909,0.004968470693562665,0.005262438328670292,0.005320738133277394,0.005292247990229464,0.004642183244698391,0.004451273231211651,0.0045195871435335004,0.004682513506554268,0.0045873568192455385,0.0045517512232295144,0.004593131347584984,0.004628783253516387,0.004682388140969816,0.004691134703415863,0.0047576324307686685,0.004806230437174255,0.004668419103235624,0.004445331878115558,0.004618942921607546,0.004620139697249738,0.004521555200686126,0.004521355742625767,0.0045128156104302375,0.004363114216672348,0.005765591749469002
median_amp,0.004620562532145368,0.004553260465211938,0.004614589943663529,0.004541987459580779,0.004651855755471581,0.00440866636063245,0.004337718514255242,0.00462291183764516,0.004729406682425439,0.004512602808609838,0.004439307987181536,0.004438536727907005,0.004403878564567332,0.004517986719805505,0.0044739434940742374,0.004649097219684298,0.004530758180802271,0.00467145260138232,0.004607022113546611,0.0044866988480767485,0.004491038050201283,0.004468881899314525,0.004466515439861964,0.004486370983479867,0.004461864485902337,0.004540067074259262,0.004527565803133288,0.004322793356645869,0.004163545794782134,0.004161029879456517,0.004110064301732807,0.00415924604248516,0.004209316485031351,0.00416241649523949,0.0041870224387590485,0.004177788950258002,0.004187608588144401,0.004052073091146801,0.004147848100925668,0.004155075476958479,0.004221938048757709,0.003990435546320902,0.0039293105666008046,0.003930669627730695,0.0038699024866120776,0.004002268515267305,0.003956298624421037,0.004057459844617032,0.004105493105366228,0.004019725705004265,0.003964958764306647,0.004119586470609197,0.0040056583665988,0.004055470195426232,0.003967831180401354,0.00411333917239619,0.004094646860714054,0.004080626301226289,0.004104670754606984,0.004107327776117997,0.0040670018325459625,0.00416540842729485,0.004036141223655424,0.0041342895906897065,0.004186920312008858,0.00406913569632242,0.004160864064527228,0.00429015916909093,0.004123450676291096,0.004161437416932532,0.004107271314549549,0.004118887115237258,0.004046344940090832,0.004284590368802668,0.004068563367376056,0.0041680894022767066,0.004114511534547952,0.004100954103600757,0.004287808384027911,0.004284548264149168,0.004441068027232795,0.0042900880264257245,0.004307009332485464,0.0044398121039143975,0.004746171123821362,0.004494912784411915,0.004544302715771517,0.004443986839514304,0.004641891906602098,0.004573750622561183,0.0046650489663393555,0.0046087600680999345,0.004809072549435013,0.004882958323176028,0.004934182532009848,0.005238224478697544,0.005305832479539117,0.00528642250601033,0.004606974926852806,0.004422396129357933,0.00455923290562852,0.004684696394320876,0.004615626953989723,0.004586785210132793,0.004629067735029055,0.004571778600279873,0.004564465233749438,0.0046466281817838535,0.004779154226173412,0.004805515748272769,0.0046792293831019755,0.004396259257998535,0.004535811851915409,0.004570224862392971,0.004495201619346162,0.00447501699699376,0.00443066932101586,0.004297001985509665,0.005108229330171103
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
impulses_ch3,34.0,36.0,31.0,47.0,50.0,30.0,27.0,21.0,32.0,40.0,32.0,30.0,21.0,37.0,34.0,37.0,36.0,52.0,30.0,37.0,40.0,36.0,46.0,43.0,45.0,35.0,47.0,32.0,26.0,32.0,28.0,43.0,33.0,37.0,34.0,28.0,32.0,38.0,35.0,45.0,32.0,27.0,19.0,26.0,19.0,18.0,22.0,33.0,32.0,28.0,12.0,38.0,15.0,29.0,16.0,33.0,21.0,23.0,27.0,32.0,19.0,18.0,23.0,42.0,15.0,20.0,34.0,28.0,32.0,27.0,30.0,30.0,33.0,35.0,25.0,22.0,23.0,19.0,33.0,29.0,44.0,43.0,38.0,45.0,44.0,63.0,47.0,51.0,51.0,69.0,43.0,57.0,86.0,58.0,68.0,75.0,103.0,102.0,39.0,41.0,40.0,39.0,43.0,40.0,37.0,46.0,41.0,57.0,61.0,55.0,51.0,34.0,52.0,40.0,48.0,52.0,39.0,31.0,212.0
impulses_ch2,4480.0,4757.0,4461.0,4343.0,4674.0,4173.0,4120.0,4628.0,4788.0,4326.0,4150.0,4265.0,4122.0,4259.0,4165.0,4563.0,4300.0,4375.0,4413.0,4242.0,4309.0,4261.0,4336.0,4073.0,4213.0,4282.0,4103.0,3621.0,3612.0,3455.0,3419.0,3362.0,3628.0,3454.0,3599.0,3613.0,3470.0,3458.0,3608.0,3351.0,3674.0,3170.0,3145.0,3188.0,3069.0,3274.0,3272.0,3346.0,3467.0,3225.0,3238.0,3363.0,3435.0,3359.0,3379.0,3490.0,3422.0,3577.0,3651.0,3616.0,3666.0,3694.0,3476.0,3595.0,3738.0,3630.0,3548.0,3840.0,3670.0,3734.0,3544.0,3746.0,3691.0,4046.0,3819.0,3783.0,3697.0,3720.0,4019.0,3989.0,4299.0,4224.0,4016.0,4360.0,4936.0,4478.0,4514.0,4097.0,4775.0,4523.0,5010.0,4869.0,5033.0,5167.0,5420.0,5717.0,5831.0,5576.0,4875.0,4497.0,4686.0,5034.0,4752.0,4764.0,4721.0,4828.0,4950.0,4891.0,5019.0,5302.0,4692.0,4242.0,4644.0,4656.0,4394.0,4474.0,4351.0,4017.0,6275.0
impulses_ch1,12492.0,12195.0,12553.0,12690.0,12544.0,12720.0,12956.0,12467.0,12279.0,12510.0,12481.0,12520.0,12422.0,12151.0,12375.0,11991.0,12130.0,12095.0,11993.0,12367.0,12269.0,12449.0,12421.0,12226.0,12029.0,12076.0,12196.0,12391.0,12620.0,12566.0,12659.0,12565.0,12669.0,12816.0,12731.0,12827.0,13020.0,12852.0,12606.0,12893.0,12613.0,13078.0,13400.0,13191.0,13333.0,13055.0,12992.0,13142.0,12858.0,13032.0,13096.0,13104.0,13047.0,13158.0,13249.0,13284.0,13347.0,13230.0,12988.0,13082.0,13027.0,13122.0,13156.0,13332.0,13108.0,13266.0,13252.0,12842.0,13133.0,13296.0,13183.0,13247.0,13285.0,13172.0,13128.0,13242.0,13346.0,13277.0,13325.0,13195.0,12843.0,13021.0,12997.0,12919.0,12471.0,12572.0,12653.0,12650.0,12531.0,12542.0,12274.0,12405.0,12248.0,12076.0,12208.0,11465.0,11388.0,11628.0,12926.0,13191.0,13296.0,12852.0,12868.0,13012.0,12814.0,12907.0,12739.0,12699.0,12497.0,12453.0,12424.0,12777.0,12692.0,12720.0,12606.0,12801.0,12696.0,12953.0,12231.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
