event_start,event_end,tauc,time_between_events_hours,mean_shear_below_tauc,n_timesteps_total,n_timesteps_below_tauc
2022-08-03 15:46:00,2022-08-08 18:16:00,0.032022779,122.5,0.0028160995850622403,490,482
2022-08-08 18:16:00,2023-05-05 15:30:00,0.01949224,6477.233333333334,0.004143597826086956,10069,4600
2023-05-05 15:30:00,2023-07-29 18:45:00,0.144062767,2043.25,0.025390824337585872,8172,8152
2023-07-29 18:45:00,2023-09-14 23:00:00,0.014906922,1132.25,0.0007715326855123675,4528,4528
2023-09-14 23:00:00,,0.001952287,,,0,0
,,,,,0,0
