tau_c_min,A,B,MAE
0.089,4.328761281083062e-05,7.0,0.008729008166349531
0.089,4.977023564332114e-05,7.0,0.008772546545064503
0.089,5.72236765935022e-05,7.0,0.008966974780027314
0.089,6.579332246575683e-05,8.0,0.009005403689592064
0.089,5.72236765935022e-05,8.0,0.009033340229175655
0.089,3.7649358067924715e-05,6.0,0.009043572221321452
0.089,3.274549162877732e-05,6.0,0.009051686518709764
0.089,3.7649358067924715e-05,7.0,0.009081328212763345
0.089,4.328761281083062e-05,6.0,0.009091567604564286
0.089,2.8480358684358048e-05,6.0,0.00910028256884168
0.089,2.477076355991714e-05,6.0,0.009171572064644353
0.089,4.977023564332114e-05,6.0,0.009203669381410965
0.089,6.579332246575683e-05,7.0,0.009261631770322428
0.089,7.56463327554629e-05,9.0,0.009352881594374923
0.089,7.56463327554629e-05,8.0,0.009372646817708146
0.089,5.72236765935022e-05,6.0,0.009387261067749198
0.089,4.977023564332114e-05,8.0,0.009407530127602001
0.089,2.1544346900318867e-05,6.0,0.009415981541261364
0.089,3.274549162877732e-05,7.0,0.009436276683948284
