tau_c_min,A,B,MAE
0.079,6.579332246575683e-05,5.1020408163265305,0.007190846875020809
0.079,5.72236765935022e-05,5.1020408163265305,0.007340644314520031
0.079,4.328761281083062e-05,4.081632653061225,0.007505803371530478
0.079,4.977023564332114e-05,4.081632653061225,0.007508528872162135
0.079,7.56463327554629e-05,5.1020408163265305,0.007511112237880183
0.079,3.7649358067924715e-05,4.081632653061225,0.007581361427856842
0.079,8.697490026177834e-05,6.122448979591837,0.007608686326364964
0.079,5.72236765935022e-05,4.081632653061225,0.00761557784770675
0.079,4.977023564332114e-05,5.1020408163265305,0.007664233597563663
0.079,3.274549162877732e-05,4.081632653061225,0.00770589439653733
0.079,6.579332246575683e-05,4.081632653061225,0.007853506900139143
0.079,2.8480358684358048e-05,4.081632653061225,0.007863041984437482
0.079,7.56463327554629e-05,6.122448979591837,0.007901051785530374
0.079,0.0001,6.122448979591837,0.007909001066408978
