tau_c_min,A,B,MAE
0.078,6.579332246575683e-05,5.1020408163265305,0.007166645980740618
0.078,4.977023564332114e-05,4.081632653061225,0.007267224628907718
0.078,4.328761281083062e-05,4.081632653061225,0.0072733323251710225
0.078,7.56463327554629e-05,5.1020408163265305,0.007274782180167819
0.078,3.7649358067924715e-05,4.081632653061225,0.007354124945704468
0.078,5.72236765935022e-05,4.081632653061225,0.007366538573230913
0.078,5.72236765935022e-05,5.1020408163265305,0.007460326466360348
0.078,3.274549162877732e-05,4.081632653061225,0.007547207553686727
0.078,6.579332246575683e-05,4.081632653061225,0.007589596987987254
0.078,0.0001,6.122448979591837,0.0076569006348050665
0.078,8.697490026177834e-05,5.1020408163265305,0.007721100421385579
0.078,8.697490026177834e-05,6.122448979591837,0.007749688372614377
0.078,4.977023564332114e-05,5.1020408163265305,0.007816129272369049
0.078,2.8480358684358048e-05,4.081632653061225,0.007832632728520302
