tau_c_min,A,B,MAE
0.077,4.977023564332114e-05,4.081632653061225,0.007047616528922098
0.077,7.56463327554629e-05,5.1020408163265305,0.0070559938466248475
0.077,4.328761281083062e-05,4.081632653061225,0.007060745536860849
0.077,5.72236765935022e-05,4.081632653061225,0.00713788629428371
0.077,6.579332246575683e-05,5.1020408163265305,0.007273968128984318
0.077,3.7649358067924715e-05,4.081632653061225,0.007324898461055771
0.077,6.579332246575683e-05,4.081632653061225,0.007342569727086637
0.077,8.697490026177834e-05,5.1020408163265305,0.0074830988332543705
0.077,5.72236765935022e-05,5.1020408163265305,0.007606899541460208
0.077,3.274549162877732e-05,4.081632653061225,0.007618918425301924
0.077,0.0001,6.122448979591837,0.007693586487087045
0.077,7.56463327554629e-05,4.081632653061225,0.007693835349448669
