tau_c_min,A,B,MAE
0.09,4.328761281083062e-05,7.142857142857143,0.00898270622205897
0.09,4.977023564332114e-05,7.142857142857143,0.009080180732594137
0.09,3.7649358067924715e-05,7.142857142857143,0.009123913913668074
0.09,5.72236765935022e-05,8.16326530612245,0.009130044607522283
0.09,5.72236765935022e-05,7.142857142857143,0.009281380398895528
0.09,3.274549162877732e-05,6.122448979591837,0.009302258038785625
0.09,3.7649358067924715e-05,6.122448979591837,0.009303543852087998
0.09,2.8480358684358048e-05,6.122448979591837,0.009337327040994098
0.09,4.328761281083062e-05,6.122448979591837,0.0093595058076078
0.09,6.579332246575683e-05,8.16326530612245,0.009367367962743822
0.09,2.477076355991714e-05,6.122448979591837,0.009390945228486741
0.09,4.977023564332114e-05,8.16326530612245,0.009452004875088151
0.09,2.1544346900318867e-05,6.122448979591837,0.009469842859687591
0.09,4.977023564332114e-05,6.122448979591837,0.009476789358627688
0.09,3.274549162877732e-05,7.142857142857143,0.00948236386822312
0.09,6.579332246575683e-05,7.142857142857143,0.009579554600429172
0.09,5.72236765935022e-05,6.122448979591837,0.009663025648876175
0.09,7.56463327554629e-05,9.183673469387756,0.009730834256866721
0.09,7.56463327554629e-05,8.16326530612245,0.00973508784809031
0.09,6.579332246575683e-05,9.183673469387756,0.009755981320566159
0.09,1.873817422860383e-05,6.122448979591837,0.009798564729844883
0.09,4.328761281083062e-05,8.16326530612245,0.009812736693723168
0.09,2.8480358684358048e-05,7.142857142857143,0.009826318498258598
0.09,3.7649358067924715e-05,5.1020408163265305,0.00985197300703609
0.09,4.328761281083062e-05,5.1020408163265305,0.009860979196631406
0.09,3.274549162877732e-05,5.1020408163265305,0.009867515473894606
