MAE,ks,xs,kw
0.00710992587758007,20.0,0.7894736842105261,3.312310615921323
0.007370614440500844,15.132934551178858,0.7894736842105261,3.312310615921323
0.007549734323018345,11.450285406513153,0.7894736842105261,3.312310615921323
0.007643634965972762,8.663820982454096,0.7894736842105261,3.312310615921323
0.007683394222370144,6.555451794530399,0.7894736842105261,3.312310615921323
0.0077865370412587565,20.0,0.7894736842105261,4.06958880964731
0.007801135159221107,15.132934551178858,0.6842105263157894,4.06958880964731
0.00785383898054354,3.753089700800592,0.894736842105263,3.312310615921323
0.007869504320649062,8.663820982454096,0.894736842105263,2.695948443325881
0.007875740294136818,6.555451794530399,0.894736842105263,2.695948443325881
0.007881989847281973,4.960161148001825,1.0,2.695948443325881
0.007910965244487514,4.960161148001825,0.7894736842105261,3.312310615921323
0.007929854162657114,4.960161148001825,0.894736842105263,3.312310615921323
0.007944857559811464,11.450285406513153,0.6842105263157894,4.06958880964731
0.007962024617737453,3.753089700800592,1.0,3.312310615921323
0.007989924375525495,20.0,0.6842105263157894,4.06958880964731
0.008026241686456225,6.555451794530399,1.0,2.695948443325881
0.008036866384424909,2.8397630403459395,1.0,3.312310615921323
0.008047476211633242,11.450285406513153,0.894736842105263,2.695948443325881
0.00808419186704557,6.555451794530399,0.894736842105263,3.312310615921323
0.008135993759973453,15.132934551178858,0.7894736842105261,4.06958880964731
0.00814332460919547,15.132934551178858,0.7894736842105261,2.695948443325881
0.008148082104584179,11.450285406513153,0.7894736842105261,2.695948443325881
0.008153534703808673,4.960161148001825,1.0,3.312310615921323
0.008164181508478256,6.555451794530399,0.5789473684210527,4.06958880964731
0.008169722106812813,15.132934551178858,0.894736842105263,2.695948443325881
0.00817471000362334,4.960161148001825,0.894736842105263,2.695948443325881
0.008182984879162563,20.0,0.7894736842105261,2.695948443325881
0.008215840414497444,8.663820982454096,0.7894736842105261,2.695948443325881
0.008216117559416305,8.663820982454096,0.6842105263157894,4.06958880964731
0.008220897351762482,20.0,0.894736842105263,2.695948443325881
0.008253799494670566,3.753089700800592,1.0,2.695948443325881
0.008264746326809635,3.753089700800592,0.7894736842105261,3.312310615921323
0.008283335690817292,2.8397630403459395,0.894736842105263,3.312310615921323
0.008286131636946682,8.663820982454096,0.894736842105263,3.312310615921323
0.008296163730882475,3.753089700800592,0.4736842105263157,4.06958880964731
