storm,tauc,tauc*,date
st2,22.62021379,0.032022779,8/3/2022 15:46
st3,13.76890597,0.01949224,8/8/2022 18:16
st4,10.52993432,0.014906922,7/29/2023 18:45
st5,,,
st6,,,
st7,1.379054109,0.001952287,9/14/2023 23:00
sp,101.7628931,0.144062767,5/5/2023 15:30
