storm,tauc,tauc*,date
st2,8.848916484,0.012527154,8/3/2022 14:55
st3,18.05440834,0.025559101,8/8/2022 14:25
st4,17.69087783,0.025044461,7/29/2023 14:38
st5,,,
st6,,,
st7,1.493698958,0.002114586,9/14/2023 22:31
sp,67.4522561,0.095490196,4/28/2023 2:46
