Time,tau_star,tau_c_star
1,0.055,0.04
2,0.055,0.04178308804901173
3,0.055,0.04304860898266215
4,0.055,0.04397625362939586
5,0.055,0.04467281347620368
6,0.055,0.04520551214816952
7,0.055,0.04561867970411997
8,0.055,0.04594267757189266
9,0.055,0.04619895638548704
10,0.055,0.04640306465056773
11,0.055,0.04656651435407507
12,0.055,0.04669798015270618
13,0.055,0.04680409481375066
14,0.055,0.04688999165470262
15,0.055,0.04695968362473959
16,0.055,0.04701633403994333
17,0.055,0.04706245369559294
18,0.055,0.04710004683741161
19,0.055,0.04713072088963232
20,0.055,0.047155770025297965
21,0.055,0.04717623954282886
22,0.055,0.04719297594693232
23,0.055,0.04720666623843862
24,0.055,0.047217868960868895
25,0.055,0.047227038883454336
26,0.055,0.04723454672630581
27,0.055,0.04724069499196739
28,0.055,0.047245730718056274
29,0.055,0.04724985578087319
30,0.055,0.047253235241253695
31,0.055,0.04725600411876471
32,0.055,0.04725827289971877
33,0.055,0.04726013202206936
34,0.055,0.04726165553153807
35,0.055,0.04726290406501894
36,0.055,0.047263927286988236
37,0.055,0.04726476588051889
38,0.055,0.04726545317520233
39,0.055,0.04726601647878547
40,0.055,0.047266478166845295
41,0.055,0.04726685657473392
42,0.055,0.047267166727853444
43,0.055,0.047267420939685015
44,0.055,0.0472676293016019
45,0.055,0.0472678000841032
46,0.055,0.047267940065523845
47,0.055,0.04726805480135436
48,0.055,0.047268148844917375
49,0.055,0.04726822592819766
50,0.055,0.04726828911002815
51,0.055,0.04726834089752984
52,0.055,0.04726838334563649
53,0.055,0.0472684181386611
54,0.055,0.04726844665714623
55,0.055,0.04726847003265408
56,0.055,0.047268489192672895
57,0.055,0.04726850489742306
58,0.055,0.04726851777002432
59,0.055,0.04726852832122181
60,0.055,0.047268536969652546
61,0.055,0.0472685440584566
62,0.055,0.04726854986889252
63,0.055,0.04726855463149712
64,0.055,0.047268558535232715
65,0.055,0.04726856173498463
66,0.055,0.04726856435770663
67,0.055,0.047268566507458025
68,0.055,0.04726856826953245
69,0.055,0.04726856971384197
70,0.055,0.04726857089769099
71,0.055,0.04726857186804985
72,0.055,0.047268572663418454
73,0.055,0.04726857331535379
74,0.055,0.047268573849721995
75,0.055,0.04726857428772461
76,0.055,0.04726857464673978
77,0.055,0.047268574941011755
78,0.055,0.047268575182216034
79,0.055,0.047268575379922614
80,0.055,0.04726857554197567
81,0.055,0.0472685756748048
82,0.055,0.04726857578368013
83,0.055,0.04726857587292136
84,0.055,0.04726857594606923
85,0.055,0.04726857600602594
86,0.055,0.04726857605517033
87,0.055,0.04726857609545224
88,0.055,0.047268576128469894
89,0.055,0.04726857615553329
90,0.055,0.04726857617771619
91,0.055,0.04726857619589873
92,0.055,0.04726857621080231
93,0.055,0.04726857622301825
94,0.055,0.04726857623303122
95,0.055,0.047268576241238494
96,0.055,0.0472685762479657
97,0.055,0.04726857625347976
98,0.055,0.047268576257999434
99,0.055,0.047268576261704054
100,0.055,0.0472685762647406
101,0.055,0.047268576267229544
102,0.055,0.04726857626926965
103,0.055,0.047268576270941845
104,0.055,0.047268576272312485
105,0.055,0.047268576273435954
106,0.055,0.047268576274356815
107,0.055,0.04726857627511162
108,0.055,0.0472685762757303
109,0.055,0.047268576276237415
110,0.055,0.047268576276653075
111,0.055,0.04726857627699378
112,0.055,0.047268576277273044
113,0.055,0.047268576277501945
114,0.055,0.04726857627768957
115,0.055,0.04726857627784336
116,0.055,0.04726857627796941
117,0.055,0.04726857627807273
118,0.055,0.04726857627815742
119,0.055,0.04726857627822684
120,0.055,0.047268576278283736
