Time,tau_star,tau_c_star
1,0.041,0.04
2,0.041,0.04058366099245647
3,0.041,0.04115064811337907
4,0.041,0.04169960744904626
5,0.041,0.042229507220036815
6,0.041,0.042739592913706353
7,0.041,0.043229341373303545
8,0.041,0.04369841851878598
9,0.041,0.04414664322237005
10,0.041,0.04457395832589529
11,0.041,0.04498040875747454
12,0.041,0.04536612605020496
13,0.041,0.045731318177619204
14,0.041,0.04607626342470935
15,0.041,0.046401306963747745
16,0.041,0.04670685887182789
17,0.041,0.046993392489254285
18,0.041,0.04726144225040317
19,0.041,0.04751160039279862
20,0.041,0.04774451223402733
21,0.041,0.04796086996868713
22,0.041,0.04816140515341234
23,0.041,0.04834688020113293
24,0.041,0.04851807929101572
25,0.041,0.04867579912290141
26,0.041,0.048820839916608565
27,0.041,0.048953996993004
28,0.041,0.049076053191328975
29,0.041,0.04918777228985267
30,0.041,0.0492898935149224
31,0.041,0.04938312715348256
32,0.041,0.049468151229289416
33,0.041,0.04954560916384692
34,0.041,0.04961610831824048
35,0.041,0.04968021929928019
36,0.041,0.04973847591004628
37,0.041,0.049791375628477304
38,0.041,0.04983938050577589
39,0.041,0.049882918387259674
40,0.041,0.049922384370418814
41,0.041,0.049958142427315
42,0.041,0.049990527130364455
43,0.041,0.05001984543155017
44,0.041,0.05004637845496786
45,0.041,0.05007038327123224
46,0.041,0.0500920946296588
47,0.041,0.05011172663035648
48,0.041,0.05012947432352136
49,0.041,0.05014551522742784
50,0.041,0.05016001075999573
51,0.041,0.05017310758148855
52,0.041,0.050184938847980434
53,0.041,0.05019562537681668
54,0.041,0.05020527672647417
55,0.041,0.05021399219407812
56,0.041,0.05022186173441623
57,0.041,0.05022896680466458
58,0.041,0.05023538113924681
59,0.041,0.05024117145932731
60,0.041,0.05024639812142009
61,0.041,0.05025111570950348
62,0.041,0.050255373574886325
63,0.041,0.050259216327889336
64,0.041,0.050262684285200025
65,0.041,0.050265813876538494
66,0.041,0.050268638014044506
67,0.041,0.05027118642756731
68,0.041,0.05027348596881454
69,0.041,0.050275560887097295
70,0.041,0.05027743307919807
71,0.041,0.05027912231568775
72,0.041,0.0502806464458284
73,0.041,0.050282021583020586
74,0.041,0.05028326227258784
75,0.041,0.05028438164353601
76,0.041,0.05028539154578183
77,0.041,0.05028630267421271
78,0.041,0.05028712468081757
79,0.041,0.05028786627601618
80,0.041,0.05028853532021188
81,0.041,0.050289138906498033
82,0.041,0.050289683435362574
83,0.041,0.05029017468215631
84,0.041,0.050290617858019075
85,0.041,0.05029101766489241
86,0.041,0.05029137834518824
87,0.041,0.05029170372662887
88,0.041,0.0502919972627248
89,0.041,0.0502922620693122
90,0.041,0.05029250095753164
91,0.041,0.0502927164635931
92,0.041,0.050292910875639044
93,0.041,0.050293086257987465
94,0.041,0.050293244473009535
95,0.041,0.050293387200871946
96,0.041,0.05029351595735175
97,0.041,0.05029363210991147
98,0.041,0.05029373689220391
99,0.041,0.05029383141715983
100,0.041,0.050293916688796673
101,0.041,0.050293993612873
102,0.041,0.050294063006501494
103,0.041,0.05029412560682204
104,0.041,0.05029418207882672
105,0.041,0.0502942330224196
106,0.041,0.05029427897878595
107,0.041,0.05029432043613856
108,0.041,0.05029435783490184
109,0.041,0.050294391572388825
110,0.041,0.05029442200702053
111,0.041,0.05029444946213251
112,0.041,0.050294474229408935
113,0.041,0.05029449657198059
114,0.041,0.05029451672721976
115,0.041,0.05029453490926157
116,0.041,0.050294551311278565
117,0.041,0.05029456610753267
118,0.041,0.05029457945522633
119,0.041,0.05029459149617247
120,0.041,0.05029460235830099
