tau_c_min,A,B,MAE
0.08,5.72236765935022e-05,5.1020408163265305,0.007452227048352975
0.08,6.579332246575683e-05,5.1020408163265305,0.007565180691942536
0.08,4.328761281083062e-05,4.081632653061225,0.007671474257752833
0.08,3.7649358067924715e-05,4.081632653061225,0.0076976154520002615
0.08,4.977023564332114e-05,4.081632653061225,0.007730190129810891
0.08,4.977023564332114e-05,5.1020408163265305,0.007731489220599508
0.08,3.274549162877732e-05,4.081632653061225,0.007779582037925592
0.08,5.72236765935022e-05,4.081632653061225,0.007901498069680424
0.08,2.8480358684358048e-05,4.081632653061225,0.007902992842862843
0.08,8.697490026177834e-05,6.122448979591837,0.00791330573559625
0.08,7.56463327554629e-05,5.1020408163265305,0.007961371317612143
0.08,7.56463327554629e-05,6.122448979591837,0.007965626069799388
0.08,4.328761281083062e-05,5.1020408163265305,0.008049301315830296
0.08,2.477076355991714e-05,4.081632653061225,0.008117976148727845
0.08,6.579332246575683e-05,4.081632653061225,0.008192257110212259
