tau_c_min,A,B,MAE
0.09,4.9238826317067415e-05,7.142857142857143,0.009012866632652513
0.09,3.455107294592218e-05,6.122448979591837,0.009114855194660636
0.09,2.424462017082331e-05,6.122448979591837,0.009218600775070487
0.09,3.455107294592218e-05,7.142857142857143,0.0093646508212861
0.09,4.9238826317067415e-05,6.122448979591837,0.009377796659532863
0.09,4.9238826317067415e-05,8.16326530612245,0.009482029927043324
0.09,7.017038286703837e-05,8.16326530612245,0.009613455824732725
0.09,7.017038286703837e-05,9.183673469387756,0.009642738285546557
0.09,3.455107294592218e-05,5.1020408163265305,0.009649525300555689
0.09,2.424462017082331e-05,5.1020408163265305,0.009711032482240086
0.09,4.9238826317067415e-05,5.1020408163265305,0.009794985338681266
0.09,1.7012542798525893e-05,5.1020408163265305,0.00981137626941821
0.09,7.017038286703837e-05,7.142857142857143,0.009822125492072443
0.09,1.1937766417144358e-05,5.1020408163265305,0.009861684315528705
