tau_c_min,A,B,MAE
0.093,3.455107294592218e-05,7.142857142857143,0.00979169624794721
0.093,2.424462017082331e-05,7.142857142857143,0.009945209512417378
0.093,4.9238826317067415e-05,8.16326530612245,0.010006325764248845
0.093,3.455107294592218e-05,8.16326530612245,0.01001537774018246
0.093,2.424462017082331e-05,6.122448979591837,0.010040580961922296
0.093,1.7012542798525893e-05,6.122448979591837,0.010041661199131382
0.093,3.455107294592218e-05,6.122448979591837,0.010053797139612894
0.093,4.9238826317067415e-05,7.142857142857143,0.01006358846282111
0.093,4.9238826317067415e-05,9.183673469387756,0.01009751716893847
0.093,4.9238826317067415e-05,6.122448979591837,0.010311473248906512
0.093,1.1937766417144358e-05,5.1020408163265305,0.010357697468903975
0.093,5.878016072274912e-06,4.081632653061225,0.01037160867422728
0.093,4.124626382901348e-06,3.0612244897959187,0.010378093885859793
0.093,3.455107294592218e-05,5.1020408163265305,0.010448993451382787
0.093,1e-06,0.0,0.010458100364688463
0.093,2.894266124716752e-06,2.0408163265306123,0.010466531700047303
0.093,2.424462017082331e-05,5.1020408163265305,0.010478707382031743
0.093,1.7012542798525893e-05,5.1020408163265305,0.010484834331530597
0.093,8.376776400682924e-06,5.1020408163265305,0.010494415872689105
0.093,2.030917620904735e-06,1.0204081632653061,0.010533201452035951
0.093,4.9238826317067415e-05,5.1020408163265305,0.010535008828250546
0.093,1.4251026703029992e-06,0.0,0.01057967799822789
0.093,1.1937766417144358e-05,6.122448979591837,0.010601036702074036
0.093,1.4251026703029992e-06,1.0204081632653061,0.010612916722552549
0.093,8.376776400682924e-06,4.081632653061225,0.010631073541253913
0.093,1.7012542798525893e-05,7.142857142857143,0.010682034859892156
0.093,4.9238826317067415e-05,10.204081632653061,0.010715405599049196
0.093,7.017038286703837e-05,8.16326530612245,0.010727634739470387
0.093,2.424462017082331e-05,8.16326530612245,0.010729487603537386
0.093,3.455107294592218e-05,9.183673469387756,0.010739194642189202
0.093,2.030917620904735e-06,2.0408163265306123,0.010764128357499167
