tau_c_min,A,B,MAE
0.089,4.9238826317067415e-05,7.142857142857143,0.008685115006628833
0.089,3.455107294592218e-05,6.122448979591837,0.008812830839363734
0.089,4.9238826317067415e-05,6.122448979591837,0.009054680478382687
0.089,7.017038286703837e-05,8.16326530612245,0.009243312746338739
0.089,2.424462017082331e-05,6.122448979591837,0.009297504112248767
0.089,3.455107294592218e-05,5.1020408163265305,0.00936822426504023
0.089,2.424462017082331e-05,5.1020408163265305,0.00945008463858087
0.089,7.017038286703837e-05,7.142857142857143,0.009476152460287584
0.089,3.455107294592218e-05,7.142857142857143,0.009476404566967184
0.089,4.9238826317067415e-05,5.1020408163265305,0.009530528603667848
