tau_c_min,A,B,MAE
0.088,3.455107294592218e-05,6.122448979591837,0.00859100986273006
0.088,4.9238826317067415e-05,6.122448979591837,0.008736396382754705
0.088,4.9238826317067415e-05,7.142857142857143,0.008737527093028722
0.088,7.017038286703837e-05,8.16326530612245,0.008898874246304509
0.088,3.455107294592218e-05,5.1020408163265305,0.009083138439833174
0.088,7.017038286703837e-05,7.142857142857143,0.009129135639573318
0.088,2.424462017082331e-05,5.1020408163265305,0.00919124858397338
0.088,4.9238826317067415e-05,5.1020408163265305,0.009250892045035337
0.088,1.7012542798525893e-05,5.1020408163265305,0.009370728178487775
0.088,2.424462017082331e-05,6.122448979591837,0.009388793684409358
