A,B,MAE,ks,kw
1.9306977288832496e-05,3.1622776601683795,0.008501592678026032,2.154434690031884,100.0
1.9306977288832496e-05,3.1622776601683795,0.008512739028594596,1.0,100.0
1.9306977288832496e-05,3.1622776601683795,0.008582120238642988,1.0,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008605872716870428,4.641588833612778,100.0
1.9306977288832496e-05,3.1622776601683795,0.008613443764749096,2.154434690031884,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008720346249422056,4.641588833612778,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008771798657152547,100.0,100.0
1.9306977288832496e-05,3.1622776601683795,0.008772207302885318,46.41588833612777,100.0
1.9306977288832496e-05,3.1622776601683795,0.008773207224306533,10.0,100.0
1.9306977288832496e-05,3.1622776601683795,0.008791395848543599,21.544346900318832,100.0
1.9306977288832496e-05,3.1622776601683795,0.008867487885353945,1.0,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.008900764717801019,2.154434690031884,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.008900928339430486,10.0,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008920546481314708,100.0,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008920939122408747,46.41588833612777,46.41588833612777
1.9306977288832496e-05,3.1622776601683795,0.008937033198319058,21.544346900318832,46.41588833612777
5.1794746792312125e-05,5.623413251903491,0.008943264867294604,1.0,10.0
5.1794746792312125e-05,5.623413251903491,0.00895032968428438,2.154434690031884,10.0
5.1794746792312125e-05,5.623413251903491,0.008997932474081458,4.641588833612778,10.0
1.9306977288832496e-05,3.1622776601683795,0.009017524389892988,4.641588833612778,21.544346900318832
5.1794746792312125e-05,5.623413251903491,0.009030185152623025,100.0,10.0
5.1794746792312125e-05,5.623413251903491,0.009030328803870863,46.41588833612777,10.0
5.1794746792312125e-05,5.623413251903491,0.009040849007546356,21.544346900318832,10.0
5.1794746792312125e-05,5.623413251903491,0.00905456247886977,10.0,10.0
5.1794746792312125e-05,5.623413251903491,0.009121553374530078,100.0,21.544346900318832
5.1794746792312125e-05,5.623413251903491,0.009121694137453793,46.41588833612777,21.544346900318832
5.1794746792312125e-05,5.623413251903491,0.00913738356060157,21.544346900318832,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.009231370977068137,10.0,21.544346900318832
5.1794746792312125e-05,5.623413251903491,0.009271289221444065,10.0,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.009289850563310793,100.0,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.009290218650437995,46.41588833612777,21.544346900318832
1.9306977288832496e-05,3.1622776601683795,0.009301733876953535,21.544346900318832,21.544346900318832
5.1794746792312125e-05,5.623413251903491,0.009313060166951371,100.0,46.41588833612777
5.1794746792312125e-05,5.623413251903491,0.009313205293671457,46.41588833612777,46.41588833612777
5.1794746792312125e-05,5.623413251903491,0.00933042346610044,21.544346900318832,46.41588833612777
