A,B,MAE,ks,kw
3.792690190732254e-05,2.357142857142857,0.0053006167572603215,100.0,100.0
3.792690190732254e-05,2.357142857142857,0.00530263659287674,100.0,92.92857142857143
3.792690190732254e-05,2.357142857142857,0.005304859829603034,100.0,85.85714285714286
3.792690190732254e-05,2.357142857142857,0.005305938335209766,92.92857142857143,100.0
3.792690190732254e-05,2.357142857142857,0.005307489706982381,100.0,78.78571428571428
3.792690190732254e-05,2.357142857142857,0.005307840350695203,92.92857142857143,92.92857142857143
3.792690190732254e-05,2.357142857142857,0.005309950172420235,92.92857142857143,85.85714285714286
3.792690190732254e-05,2.357142857142857,0.005310830179209313,100.0,71.71428571428571
3.792690190732254e-05,2.357142857142857,0.0053125357250122,92.92857142857143,78.78571428571428
3.792690190732254e-05,2.357142857142857,0.0053131180872866,85.85714285714286,100.0
3.792690190732254e-05,2.357142857142857,0.005314871809062257,85.85714285714286,92.92857142857143
3.792690190732254e-05,2.357142857142857,0.005315836009908759,92.92857142857143,71.71428571428571
3.792690190732254e-05,2.357142857142857,0.00531584933295463,100.0,64.64285714285714
3.792690190732254e-05,2.357142857142857,0.005316858014661006,85.85714285714286,85.85714285714286
3.792690190732254e-05,2.357142857142857,0.005319330112800832,85.85714285714286,78.78571428571428
3.792690190732254e-05,2.357142857142857,0.0053207162297410834,92.92857142857143,64.64285714285714
3.792690190732254e-05,2.357142857142857,0.005322509890776157,85.85714285714286,71.71428571428571
3.792690190732254e-05,2.357142857142857,0.005322552373241467,100.0,57.57142857142857
3.792690190732254e-05,2.357142857142857,0.0053233204547675425,78.78571428571428,100.0
3.792690190732254e-05,2.357142857142857,0.0053248538464001245,78.78571428571428,92.92857142857143
3.792690190732254e-05,2.357142857142857,0.005326704846201298,78.78571428571428,85.85714285714286
3.792690190732254e-05,2.357142857142857,0.005326983107970213,92.92857142857143,57.57142857142857
3.792690190732254e-05,2.357142857142857,0.005327327143181161,85.85714285714286,64.64285714285714
3.792690190732254e-05,2.357142857142857,0.005328948468561499,78.78571428571428,78.78571428571428
3.792690190732254e-05,2.357142857142857,0.005331942278684526,78.78571428571428,71.71428571428571
3.792690190732254e-05,2.357142857142857,0.005332795348517865,100.0,50.5
3.792690190732254e-05,2.357142857142857,0.0053334320766659435,85.85714285714286,57.57142857142857
3.792690190732254e-05,2.357142857142857,0.005336560110334839,78.78571428571428,64.64285714285714
3.792690190732254e-05,2.357142857142857,0.005336843871426879,92.92857142857143,50.5
3.792690190732254e-05,2.357142857142857,0.005337320784732397,71.71428571428571,100.0
3.792690190732254e-05,2.357142857142857,0.005338726543221709,71.71428571428571,92.92857142857143
3.792690190732254e-05,2.357142857142857,0.005340377868732298,71.71428571428571,85.85714285714286
