Date time, TauStarC
725797.2535,0.113861273254332
725798.4806,0.131622101490826
725824.3361,0.0807926200942915
725824.5007,0.0900791164150102
725846.6681,0.132267456915775
725847.216,0.139388361365953
725847.6458,0.145790330657492
725851.7174,0.13789384891055
725852.6785,0.13400644997133
725853.5764,0.134988197152141
725855.6271,0.132733701659659
725856.5813,0.126598563009684
725857.6535,0.120113662716616
725858.6479,0.12853897035869
725859.5868,0.115107186305428
725859.8132,0.121729640194954
725860.5139,0.12065193616208
725867.9285,0.127141479039246
725884.6035,0.127607255829511
725888.7479,0.126598563009684
725889.0236,0.131335084416412
725891.8667,0.129470830147808
725892.1771,0.126310728688838
725892.6042,0.125684268045999
725893.0813,0.125264986142966
725896.2965,0.12065193616208
725897.0736,0.140371898095056
725903.3569,0.135065546476809
725903.666,0.142612355138252
725903.8236,0.154759124617737
725906.2042,0.150401048515545
725906.784,0.156980180619266
725906.8451,0.151983533782492
725912.759,0.148162355775357
725912.9493,0.185742865777905
725913.1549,0.142832953698394
725920.8889,0.168563485442151
725925.8944,0.151921635687436
725945.8625,0.147692630845438
725949.059,0.213203991462793
725954.2576,0.184277654020133
725973.9069,0.15709466161761
725974.0938,0.181189868039628
725974.2896,0.186742617068043
725974.4194,0.199852152857416
725985.9368,0.198087946053135
726206.725,0.106467765194954
726209.6701,0.133199991876911
726212.691,0.140371898095056
726213.6361,0.139880074700561
726224.6347,0.141848169915902
726225.6097,0.138896796875
726233.934,0.130868956899847
726238.825,0.146283666539246
726243.5049,0.156980180619266
726249.5604,0.148632127532492
726258.6451,0.148632127532492
726258.8736,0.148162355775357
726268.7708,0.170546021518221
726287.3132,0.158976877229867
726298.1021,0.193567802067406
726311.6382,0.14012598209735
726335.3326,0.180373518332696
726335.466,0.158976877229867
726344.0743,0.191120634556575
726344.1042,0.192099292972732
726620.7007,0.154037310779816
726651.6229,0.175499798515545
726676.8465,0.154272432546509
726680.4458,0.185010174646407
726680.9938,0.169554535550459
726681.0417,0.195771687213303
726681.1639,0.195036912509557
726688.4521,0.206811014987895
726688.6674,0.201409911522044
726694.6819,0.214188459081932
726707.5264,0.204355012662462
726707.6243,0.205337221186927
726707.9382,0.203373050060525
726708.0396,0.203373050060525
726708.2042,0.205828421890928
726879.1535,0.19650661601682
726915.2007,0.163214048244776
726966.8097,0.17891064793578
726967.8764,0.212711847365571
726972.6903,0.0756708518969801
726975.9924,0.106467765194954
726977.9118,0.163214048244776
726978.2875,0.162272204622197
726992.3333,0.163685018635321
727015.2576,0.191609934378186
727019.725,0.150511609247579
727043.8854,0.219114433852574
727051.6507,0.174516094785296
727062.3139,0.170050220438328
727099.2132,0.183057133027523
727100.1667,0.205582808597732
727352.3035,0.160388940255479
727357.3319,0.15709466161761
727359.1639,0.167572860601427
727365.5382,0.159447537589195
