,09/18/23 00:01:00,09/18/23 00:23:00
max_amp,0.046805010910147396,0.0019341649999255323
mean_amp,0.00023400457805592,0.00012344929894646307
median_amp,0.00010703929407406438,0.00011335513762315058
impulses_ch6,2.0,0.0
impulses_ch5,9.0,0.0
impulses_ch4,41.0,1.0
impulses_ch3,149.0,5.0
impulses_ch2,492.0,36.0
impulses_ch1,1541.0,436.0
max_env_ch6,0.046805010910147396,0.0
mean_env_ch6,0.0323373693614179,0.0
median_env_ch6,0.0323373693614179,0.0
max_env_ch5,0.18722004364058958,0.0
mean_env_ch5,0.11244023769381192,0.0
median_env_ch5,0.09553099794195224,0.0
max_env_ch4,0.7488801745623583,0.030946639998808517
mean_env_ch4,0.30459903732250976,0.030946639998808517
median_env_ch4,0.28591564500301453,0.030946639998808517
max_env_ch3,2.9955206982494333,0.12378655999523407
mean_env_ch3,1.081265035851244,0.12378655999523407
median_env_ch3,0.8237971516608784,0.12378655999523407
max_env_ch2,11.982082792997733,0.49514623998093626
mean_env_ch2,1.1080331921861135,0.15654790918352943
median_env_ch2,0.11679306939083706,0.11486770459869439
max_env_ch1,47.92833117199093,1.980584959923745
mean_env_ch1,0.9288983463234405,0.18863315918739887
median_env_ch1,0.1466777810577869,0.14665655532962973
