,09/18/23 00:01:00,09/18/23 00:23:00,09/18/23 00:45:00
max_amp,0.09559075154888491,0.004480062657959734,0.004277277790308105
mean_amp,0.0028657224255315495,0.002524850370632954,0.00237492138714581
median_amp,0.0025773512501708817,0.002479294390421184,0.002325082851495992
impulses_ch6,4.0,0.0,0.0
impulses_ch5,7.0,0.0,0.0
impulses_ch4,45.0,5.0,2.0
impulses_ch3,806.0,697.0,586.0
impulses_ch2,23717.0,17888.0,15660.0
impulses_ch1,175361.0,169982.0,163149.0
max_env_ch6,0.09559075154888491,0.0,0.0
mean_env_ch6,0.09559075154888491,0.0,0.0
median_env_ch6,0.09559075154888491,0.0,0.0
max_env_ch5,0.38236300619553965,0.0,0.0
mean_env_ch5,0.38236300619553965,0.0,0.0
median_env_ch5,0.38236300619553965,0.0,0.0
max_env_ch4,1.5294520247821586,0.06017632101687957,0.06843644464492968
mean_env_ch4,0.2583882097111567,0.05346553558696088,0.06226790395062891
median_env_ch4,0.09415581705769788,0.053910078688227954,0.06226790395062891
max_env_ch3,6.117808099128634,0.286724010109423,0.2737457785797187
mean_env_ch3,0.23956841484788138,0.18210272231849003,0.1739021411030488
median_env_ch3,0.1974685152578357,0.17852159477513796,0.17094353003319077
max_env_ch2,24.471232396514537,1.146896040437692,1.0949831143188749
mean_env_ch2,0.7347021648622885,0.6463616948820362,0.6081078601478007
median_env_ch2,0.6601132493734001,0.6346993639478231,0.595305095657796
max_env_ch1,97.88492958605815,4.587584161750768,4.379932457275499
mean_env_ch1,2.9344997637443067,2.585446779528145,2.4319195004373095
median_env_ch1,2.639207680174983,2.5387974557912925,2.3808848399318956
