storm,tauc,tauc*,date
st2,21.42390446,0.030329198,8/3/2022 15:44
st3,14.63634102,0.020720242,8/8/2022 18:07
st4,15.5900324,0.022070355,7/29/2023 18:37
st5,,,
st6,,,
st7,2.000616792,0.002832215,9/14/2023 22:46
sp,101.8551133,0.14419332,5/5/2023 15:28
