time,taum,tau*
3/1/2022 0:00,0.028210394,0.00004
3/1/2022 0:15,0.028182409,0.00004
3/1/2022 0:30,0.028108686,0.00004
3/1/2022 0:45,0.027989806,0.00004
3/1/2022 1:00,0.027827353,0.00004
3/1/2022 1:15,0.027625494,0.00004
3/1/2022 1:30,0.02738769,0.00004
3/1/2022 1:45,0.027115153,0.00004
3/1/2022 2:00,0.026808342,0.00004
3/1/2022 2:15,0.026468252,0.00004
3/1/2022 2:30,0.026096387,0.00004
3/1/2022 2:45,0.02569473,0.00004
3/1/2022 3:00,0.025265698,0.00004
3/1/2022 3:15,0.024812078,0.00004
3/1/2022 3:30,0.024334268,0.00003
3/1/2022 3:45,0.023359553,0.00003
3/1/2022 4:00,0.022624969,0.00003
3/1/2022 4:15,0.021932233,0.00003
3/1/2022 4:30,0.021328347,0.00003
3/1/2022 4:45,0.020736114,0.00003
3/1/2022 5:00,0.020081059,0.00003
3/1/2022 5:15,0.019514938,0.00003
3/1/2022 5:30,0.018770357,0.00003
3/1/2022 5:45,0.018226001,0.00003
3/1/2022 6:00,0.017743752,0.00003
3/1/2022 6:15,0.017317156,0.00002
3/1/2022 6:30,0.017048376,0.00002
3/1/2022 6:45,0.017264008,0.00002
3/1/2022 7:00,0.018044204,0.00003
3/1/2022 7:15,0.019108466,0.00003
3/1/2022 7:30,0.020352764,0.00003
3/1/2022 7:45,0.022071584,0.00003
3/1/2022 8:00,0.023767515,0.00003
3/1/2022 8:15,0.025255012,0.00004
3/1/2022 8:30,0.026730406,0.00004
3/1/2022 8:45,0.027841145,0.00004
3/1/2022 9:00,0.028858085,0.00004
3/1/2022 9:15,0.029196894,0.00004
3/1/2022 9:30,0.029379848,0.00004
3/1/2022 9:45,0.029981369,0.00004
3/1/2022 10:00,0.030423826,0.00004
3/1/2022 10:15,0.030645084,0.00004
3/1/2022 10:30,0.030527957,0.00004
3/1/2022 10:45,0.029946737,0.00004
3/1/2022 11:00,0.02923514,0.00004
3/1/2022 11:15,0.02855449,0.00004
3/1/2022 11:30,0.027680291,0.00004
3/1/2022 11:45,0.026912651,0.00004
3/1/2022 12:00,0.025935613,0.00004
3/1/2022 12:15,0.024802794,0.00004
