event_start,event_end,event,tauc_ini,tauc,tau,dt
8/3/2022 14:55,8/8/2022 14:25,1,0.012527154,0.025559101,0.002387025,119.5
8/8/2022 14:25,4/28/2023 2:46,2,0.025559101,0.025044461,0.026766359,6300.35
4/28/2023 2:46,7/29/2023 14:38,3,0.025044461,0.002114586,0.004894907,2219.866667
7/29/2023 14:38,9/14/2023 22:31,4,0.002114586,0.095490196,0.000732141,1135.883333
