,minute,rms,maa,peak,mean_envelope,std_envelope,p90_envelope,recording,tau
2023-09-20 13:54:00,0,2.1082576324044822e-05,1.3595182028747897e-05,0.0005379592905018628,2.146828759634506e-05,2.0689675418031306e-05,3.9588335642022775e-05,flood2,0.3159769989060917
2023-09-20 13:55:00,1,3.2004689761759916e-05,1.606630631803673e-05,0.001363262298420383,2.555338284876142e-05,3.735806415809537e-05,4.472080423168115e-05,flood2,0.3322531919305749
2023-09-20 13:56:00,2,2.0528909771486177e-05,1.336035607940289e-05,0.0005293173741885798,2.100984274180687e-05,2.0036432640231135e-05,3.863895010869914e-05,flood2,0.3203855814448115
2023-09-20 13:57:00,3,0.00035909278802510284,6.154932997108908e-05,0.04807281997171465,9.712665256803328e-05,0.0004984593004048336,0.0001508282984279297,flood2,2.5541050561941474
2023-09-20 13:58:00,4,2.803327975421502e-05,1.6428215141421042e-05,0.0008728335476415765,2.5841789364249253e-05,3.0065451075077556e-05,4.9092184596194853e-05,flood2,0.3690945473527536
2023-09-20 13:59:00,5,2.5152554614218194e-05,1.536304588281569e-05,0.0007972167799003508,2.4158267402322624e-05,2.6109004240269106e-05,4.715470024538177e-05,flood2,0.3487128597470857
2023-09-20 14:00:00,6,2.4632179382058768e-05,1.448662623384683e-05,0.0008663521104066142,2.27932348927342e-05,2.634306121452783e-05,4.370883152180655e-05,flood2,0.3680621025748437
2023-09-20 14:01:00,7,2.4207241508201e-05,1.510934391104717e-05,0.0005444407277368249,2.3761578150796215e-05,2.464484699417765e-05,4.605044400569868e-05,flood2,0.3573649996433695
2023-09-20 14:02:00,8,2.3819492509472634e-05,1.479932986044473e-05,0.0006157365373214091,2.3273497817869052e-05,2.4353247403379073e-05,4.5058830785134095e-05,flood2,0.3423873847479826
2023-09-20 14:03:00,9,2.2533796379805725e-05,1.3993529952777445e-05,0.0005595640812850701,2.2007765602054892e-05,2.3047823279389172e-05,4.1829585992807e-05,flood2,0.3632832508021603
2023-09-20 14:04:00,10,2.1818743399633654e-05,1.3926871089786125e-05,0.0004666634809172785,2.192046102637833e-05,2.1716549149289044e-05,4.269015827933841e-05,flood2,0.3683273251204114
2023-09-20 14:05:00,11,2.2173597312134808e-05,1.3560744188201284e-05,0.001121288641648461,2.1338094524864455e-05,2.2978740717765918e-05,4.111484559850207e-05,flood2,0.3634278355852862
