Time,tau_star,tau_c_star
1,0.043,0.04
2,0.043,0.04054547890439159
3,0.043,0.04108155495361787
4,0.043,0.041602455956763804
5,0.043,0.04210531646966853
6,0.043,0.042588935402462294
7,0.043,0.04305300734848431
8,0.043,0.04349769441487759
9,0.043,0.04392339644450524
10,0.043,0.04433062871161749
11,0.043,0.04471995668765873
12,0.043,0.04509196122698519
13,0.043,0.04544722020683826
14,0.043,0.045786299235233634
15,0.043,0.04610974744524499
16,0.043,0.04641809617455529
17,0.043,0.04671185927621273
18,0.043,0.046991534321472975
19,0.043,0.047257604243322954
20,0.043,0.04751053913572111
21,0.043,0.047750798024315665
22,0.043,0.04797883048889565
23,0.043,0.04819507806183602
24,0.043,0.048399975358714535
25,0.043,0.04859395092153275
26,0.043,0.04877742777384981
27,0.043,0.04895082370179724
28,0.043,0.049114551285988114
29,0.043,0.04926901771713349
30,0.043,0.04941462443303767
31,0.043,0.04955176661688395
32,0.043,0.049680832596713805
33,0.043,0.0498022031841556
34,0.043,0.04991625098720636
35,0.043,0.05002333972764079
36,0.043,0.050123823588813586
37,0.043,0.05021804661458589
38,0.043,0.05030634217513283
39,0.043,0.05038903251070085
40,0.043,0.05046642836013857
41,0.043,0.05053882867732119
42,0.043,0.050606520435473826
43,0.043,0.05066977851687837
44,0.043,0.05072886568349703
45,0.043,0.05078403262261592
46,0.043,0.05083551806064489
47,0.043,0.050883548937637815
48,0.043,0.050928340634854095
49,0.043,0.050970097247701636
50,0.043,0.05100901189662524
51,0.043,0.05104526706887839
52,0.043,0.05107903498459601
53,0.043,0.05111047798113236
54,0.043,0.051139748910210885
55,0.043,0.051166991543027174
56,0.043,0.05119234097903266
57,0.043,0.051215924054692344
58,0.043,0.05123785974904384
59,0.043,0.05125825958338175
60,0.043,0.0512772280128463
61,0.043,0.051294862808107175
62,0.043,0.05131125542570252
63,0.043,0.05132649136591976
64,0.043,0.051340650517391645
65,0.043,0.05135380748783036
66,0.043,0.051366031920536945
67,0.043,0.05137738879650612
68,0.043,0.051387938722101074
69,0.043,0.05139773820240114
70,0.043,0.05140683990043147
71,0.043,0.051415292882569304
72,0.043,0.05142314285049023
73,0.043,0.05143043236007047
74,0.043,0.051437201027701586
75,0.043,0.051443485724502705
76,0.043,0.05144932075893456
77,0.043,0.05145473804833096
78,0.043,0.051459767279867875
79,0.043,0.05146443606148922
80,0.043,0.05146877006330292
81,0.043,0.05147279314995173
82,0.043,0.05147652750445091
83,0.043,0.0514799937439709
84,0.043,0.0514832110280265
85,0.043,0.0514861971595173
86,0.043,0.051488968679045524
87,0.043,0.05149154095291891
88,0.043,0.051493928255227306
89,0.043,0.0514961438443626
90,0.043,0.051498200034332954
91,0.043,0.051500108261203534
92,0.043,0.05150187914497817
93,0.043,0.051503522547218496
94,0.043,0.05150504762468033
95,0.043,0.051506462879230566
96,0.043,0.05150777620429225
97,0.043,0.05150899492805035
98,0.043,0.051510125853636575
99,0.043,0.05151117529649786
100,0.043,0.051512149119140184
101,0.043,0.05151305276342725
102,0.043,0.05151389128060188
103,0.043,0.0515146693591871
104,0.043,0.051515391350913486
105,0.043,0.051516061294809755
106,0.043,0.05151668293958445
107,0.043,0.05151725976441791
108,0.043,0.05151779499827567
109,0.043,0.05151829163784713
110,0.043,0.05151875246420589
111,0.043,0.05151918005828189
112,0.043,0.05151957681522909
113,0.043,0.05151994495776674
114,0.043,0.05152028654856686
115,0.043,0.051520603501755545
116,0.043,0.05152089759359096
117,0.043,0.05152117047237644
118,0.043,0.051521423667663296
119,0.043,0.05152165859879366
120,0.043,0.05152187658283057
