event_start,event_end,time_between_events_hours,mean_shear_between_events,n_timesteps
2022-08-03 15:44:00,2022-08-08 18:07:00,122.38333333333334,0.0034428571428571425,490
2022-08-08 18:07:00,2023-05-05 15:28:00,6477.35,0.04117662679666298,10070
2023-05-05 15:28:00,2023-07-29 18:37:00,2043.15,0.025709641502508263,8173
2023-07-29 18:37:00,2023-09-14 22:46:00,1132.15,0.0007720026495915213,4529
2023-09-14 22:46:00,,,,0
,,,,0
