,cal_stress,match_stress,Calibration_Time,Match_Time,minute,rms_cal,maa_cal,peak_cal,mean_envelope_cal,std_envelope_cal,p90_envelope_cal,recording,tau_cal,rms_match,maa_match,peak_match,mean_envelope_match,std_envelope_match,p90_envelope_match,date_str,tau_match
0,0.357365,0.35506608,9/20/2023 14:01,7/24/2023 14:00,7,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,1.22E-05,9.43E-06,0.000155554,1.49E-05,8.82E-06,2.59E-05,072423-140000,0.35506608
1,0.357365,0.35506608,9/20/2023 14:01,8/3/2023 18:00,7,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,1.06E-05,7.98E-06,0.000157715,1.26E-05,8.11E-06,2.20E-05,080323-180000,0.35506608
2,0.357365,0.35506608,9/20/2023 14:01,8/4/2023 13:45,7,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,1.27E-05,9.58E-06,0.000198764,1.51E-05,9.72E-06,2.64E-05,080423-134500,0.35506608
3,0.357365,0.35506608,9/20/2023 14:01,8/4/2023 14:45,7,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,1.26E-05,9.46E-06,0.000410491,1.49E-05,9.75E-06,2.59E-05,080423-144500,0.35506608
4,0.357365,0.35506608,9/20/2023 14:01,8/4/2023 16:30,7,2.42E-05,1.51E-05,0.000544441,2.38E-05,2.46E-05,4.61E-05,flood2,0.357365,1.26E-05,9.38E-06,0.000265739,1.48E-05,1.00E-05,2.60E-05,080423-163000,0.35506608
5,0.374976548,0.376777213,9/20/2023 14:07,8/2/2023 13:45,13,1.88E-05,1.19E-05,0.000544441,1.87E-05,1.89E-05,3.68E-05,flood2,0.374976548,1.31E-05,9.82E-06,0.000177159,1.54E-05,1.02E-05,2.73E-05,080223-134500,0.376777213
6,0.374976548,0.376777213,9/20/2023 14:07,8/3/2023 16:15,13,1.88E-05,1.19E-05,0.000544441,1.87E-05,1.89E-05,3.68E-05,flood2,0.374976548,1.18E-05,8.83E-06,0.000328393,1.39E-05,9.33E-06,2.46E-05,080323-161500,0.376777213
7,0.374976548,0.376777213,9/20/2023 14:07,8/5/2023 13:00,13,1.88E-05,1.19E-05,0.000544441,1.87E-05,1.89E-05,3.68E-05,flood2,0.374976548,1.22E-05,9.05E-06,0.000302467,1.43E-05,9.77E-06,2.48E-05,080523-130000,0.376777213
8,0.374976548,0.376777213,9/20/2023 14:07,8/5/2023 13:45,13,1.88E-05,1.19E-05,0.000544441,1.87E-05,1.89E-05,3.68E-05,flood2,0.374976548,1.28E-05,9.22E-06,0.000337035,1.45E-05,1.07E-05,2.52E-05,080523-134500,0.376777213
9,0.374976548,0.376777213,9/20/2023 14:07,8/5/2023 14:30,13,1.88E-05,1.19E-05,0.000544441,1.87E-05,1.89E-05,3.68E-05,flood2,0.374976548,1.23E-05,9.10E-06,0.00027006,1.43E-05,9.84E-06,2.49E-05,080523-143000,0.376777213
