measured,maxamp,imps_ch2,imps_maxamp_ch1,impsmaxamp_ch1,impsmaxamp_ch2,impsmaxamp_ch3
90,97.69551761,47.01146283,80.67997503,78.9070685,69.44768509,61.31021042
45,42.55861117,42.87108848,62.03264832,40.80784323,35.47051904,37.09062154
90,92.46856084,43.86870447,79.82014775,84.05379283,60.54075145,41.40440239
128,54.67715393,129.64998,66.17213801,66.9187116,102.1836202,292.7354572
64,53.11569641,116.184735,70.49017624,54.30242494,88.50478293,107.3624659
128,108.9870681,106.346405,80.32667148,105.0962222,215.7165383,537.0490947
