event_start,event_end,time_between_events_hours,cumulative_shear,n_timesteps
2022-08-03 14:55:00,2022-08-08 14:25:00,119.5,1126.6019999999999,478
2022-08-08 14:25:00,2023-04-28 02:46:00,6300.35,288926.01,9363
2023-04-28 02:46:00,2023-07-29 14:38:00,2219.866666666667,269188.83,8879
2023-07-29 14:38:00,2023-09-14 22:31:00,1135.8833333333334,3293.0999999999995,4544
2023-09-14 22:31:00,,,0.0,0
,,,0.0,0
