Time,4000,5000,6000,7000
0,0.0400000,0.040000,0.040000,0.040000
10,0.0408830,,0.045627,0.048895
30,0.0472005,0.048806,0.048604,0.052000
60,0.0479784,0.051668,0.055834,0.048962
120,0.0522978,0.051756,0.051454,0.048965
