A,B,MAE,ks,xs,kw
2.9285714285714288e-05,1.0,0.006193020329006685,43.42857142857143,0.7857142857142857,5.7142857142857135
2.9285714285714288e-05,1.0,0.0062325981736559176,57.57142857142857,0.7857142857142857,6.285714285714286
5.05e-05,2.357142857142857,0.006260431454386534,57.57142857142857,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.006261277034354057,50.5,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.006263097675943213,64.64285714285714,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006265144366477654,100.0,0.7857142857142857,6.857142857142857
5.05e-05,2.357142857142857,0.006275732359858713,92.92857142857143,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006276265955393406,50.5,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006277661211987526,50.5,0.7857142857142857,5.7142857142857135
2.9285714285714288e-05,1.0,0.006279394024139659,92.92857142857143,0.7857142857142857,6.857142857142857
5.05e-05,2.357142857142857,0.006280628287559953,64.64285714285714,0.7857142857142857,4.571428571428571
4.342857142857143e-05,2.357142857142857,0.006284435949396675,71.71428571428571,0.7857142857142857,4.571428571428571
4.342857142857143e-05,2.357142857142857,0.006285720612334134,64.64285714285714,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.006287920939413863,100.0,0.7857142857142857,5.142857142857142
5.05e-05,2.357142857142857,0.006293654500671661,85.85714285714286,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006297035577418247,85.85714285714286,0.7857142857142857,6.857142857142857
5.05e-05,2.357142857142857,0.006303224426620221,71.71428571428571,0.7857142857142857,4.571428571428571
4.342857142857143e-05,2.357142857142857,0.006313712320391416,78.78571428571428,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.006315836888931847,78.78571428571428,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006316105690351456,71.71428571428571,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006318449652672897,78.78571428571428,0.7857142857142857,6.857142857142857
2.9285714285714288e-05,1.0,0.0063265173696368,36.357142857142854,0.7857142857142857,5.7142857142857135
5.05e-05,2.357142857142857,0.006334012938709485,78.78571428571428,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.00633986552149717,43.42857142857143,0.7857142857142857,6.285714285714286
4.342857142857143e-05,2.357142857142857,0.006341830871083784,85.85714285714286,0.7857142857142857,4.571428571428571
4.342857142857143e-05,2.357142857142857,0.006344409883943367,57.57142857142857,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.006344516140037226,71.71428571428571,0.7857142857142857,6.857142857142857
5.05e-05,2.357142857142857,0.0063497884705276345,71.71428571428571,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006350196827868085,57.57142857142857,0.7857142857142857,5.7142857142857135
3.6357142857142854e-05,1.0,0.00635853202938583,36.357142857142854,0.7857142857142857,5.7142857142857135
2.9285714285714288e-05,1.0,0.006361626669395351,78.78571428571428,0.7857142857142857,6.285714285714286
3.6357142857142854e-05,1.0,0.006363350091574699,43.42857142857143,0.7857142857142857,5.7142857142857135
5.05e-05,2.357142857142857,0.006366641234430056,85.85714285714286,0.7857142857142857,4.571428571428571
4.342857142857143e-05,2.357142857142857,0.00636828852750553,92.92857142857143,0.7857142857142857,4.571428571428571
3.6357142857142854e-05,1.0,0.006376575385040414,50.5,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006378688793487264,64.64285714285714,0.7857142857142857,6.857142857142857
5.05e-05,2.357142857142857,0.006382888882645682,43.42857142857143,0.7857142857142857,4.571428571428571
3.6357142857142854e-05,1.0,0.006384875751572166,29.285714285714285,0.7857142857142857,5.142857142857142
4.342857142857143e-05,2.357142857142857,0.006392922700850146,100.0,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.006396034448278182,92.92857142857143,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.006400335155985762,85.85714285714286,0.7857142857142857,6.285714285714286
5.05e-05,2.357142857142857,0.006404487968677691,64.64285714285714,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006412501366538858,64.64285714285714,0.7857142857142857,5.7142857142857135
5.757142857142857e-05,2.357142857142857,0.00642081594400006,43.42857142857143,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.006422588114583627,100.0,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.006423368898400744,57.57142857142857,0.7857142857142857,6.857142857142857
4.342857142857143e-05,2.357142857142857,0.006427817094595928,50.5,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.0064328822770639395,29.285714285714285,0.7857142857142857,5.142857142857142
3.6357142857142854e-05,1.0,0.006432899745732279,43.42857142857143,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006434094985917261,92.92857142857143,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006438272912351731,36.357142857142854,0.7857142857142857,5.142857142857142
3.6357142857142854e-05,1.0,0.006441200668433833,50.5,0.7857142857142857,5.7142857142857135
3.6357142857142854e-05,1.0,0.006441984446433693,78.78571428571428,0.7857142857142857,6.857142857142857
3.6357142857142854e-05,1.0,0.006442406125929509,57.57142857142857,0.7857142857142857,6.285714285714286
3.6357142857142854e-05,1.0,0.006463067070274803,71.71428571428571,0.7857142857142857,6.857142857142857
3.6357142857142854e-05,2.357142857142857,0.0064631485751143105,92.92857142857143,0.7857142857142857,4.571428571428571
2.9285714285714288e-05,1.0,0.00646379541682143,100.0,0.7857142857142857,6.285714285714286
2.9285714285714288e-05,1.0,0.006466226164058416,71.71428571428571,0.7857142857142857,5.7142857142857135
4.342857142857143e-05,2.357142857142857,0.0064698067563708165,36.357142857142854,0.7857142857142857,4.0
4.342857142857143e-05,1.0,0.00647045460121021,100.0,0.8571428571428571,4.0
3.6357142857142854e-05,2.357142857142857,0.0064723819779025525,85.85714285714286,0.7857142857142857,4.571428571428571
5.05e-05,2.357142857142857,0.0064794928015820905,57.57142857142857,0.7857142857142857,5.142857142857142
3.6357142857142854e-05,1.0,0.006479684630298577,85.85714285714286,0.7857142857142857,6.857142857142857
5.05e-05,1.0,0.00647976265528471,100.0,0.8571428571428571,4.0
2.9285714285714288e-05,1.0,0.006481977934388569,50.5,0.7857142857142857,6.857142857142857
5.757142857142857e-05,2.357142857142857,0.006482059932987891,50.5,0.7857142857142857,4.571428571428571
