tau_c_min,A,B,MAE
0.08499999999999999,0.00010608183551394483,8.6866,0.008972952763713663
0.08416666666666667,0.00011253355826007646,8.6866,0.008985651669478595
0.08583333333333333,0.0001,8.6866,0.00903482048111721
0.08499999999999999,0.0001,8.6866,0.00903761669238449
0.08333333333333333,0.00011937766417144369,8.6866,0.00904733363037918
0.08416666666666667,0.00010608183551394483,8.6866,0.009079344515814297
0.0825,0.00012663801734674035,8.6866,0.009126713829176328
0.08333333333333333,0.00011253355826007646,8.6866,0.00913687086182229
0.08333333333333333,0.00012663801734674035,8.6866,0.009191085754327361
0.08416666666666667,0.0001,8.6866,0.00919651917448178
0.08416666666666667,0.00011937766417144369,8.6866,0.00920169223128926
0.0825,0.00013433993325989,8.6866,0.00920298387649376
0.0825,0.00011937766417144369,8.6866,0.009211410983717005
0.08166666666666667,0.00013433993325989,8.6866,0.009227722339248807
0.08499999999999999,0.00011253355826007646,8.6866,0.00923229410625125
0.08166666666666667,0.00014251026703029977,8.6866,0.009236627352540503
0.08333333333333333,0.00010608183551394483,8.6866,0.00924958800649267
0.08583333333333333,0.00010608183551394483,8.6866,0.009282596986530348
0.08166666666666667,0.00012663801734674035,8.6866,0.009303737766966347
0.0825,0.00011253355826007646,8.6866,0.009318388067255143
0.08083333333333334,0.00015117750706156616,8.6866,0.009322814255255312
0.08083333333333334,0.00014251026703029977,8.6866,0.009350283175493811
0.08666666666666667,0.0001,8.6866,0.009351896395505235
0.08333333333333333,0.0001,8.6866,0.009369459898922896
0.08166666666666667,0.00011937766417144369,8.6866,0.009404301601145826
0.08083333333333334,0.00013433993325989,8.6866,0.009417566203565025
