A,B,MAE
1e-06,1.3673469387755102,0.010660751683226843
1.519911082952933e-06,1.7346938775510203,0.010680865121874892
3.0538555088334123e-06,2.2857142857142856,0.010699791187003743
2.0092330025650458e-06,1.9183673469387754,0.010700194480622335
6.1359072734131755e-06,2.836734693877551,0.010714065949043311
1.2328467394420658e-05,3.3877551020408165,0.010738423236294722
4.037017258596558e-06,2.4693877551020407,0.010750068967547665
1.1497569953977357e-06,1.5510204081632653,0.010758798065573612
1.3219411484660288e-06,1.5510204081632653,0.010767607497786547
2.310129700083158e-06,2.1020408163265305,0.010781808630085122
4.641588833612782e-06,2.6530612244897958,0.010800519748272962
8.111308307896873e-06,3.0204081632653064,0.010812737022794828
9.3260334688322e-06,3.2040816326530615,0.010814088655829057
2.477076355991714e-05,3.938775510204082,0.01081654138489202
2.656087782946684e-06,2.1020408163265305,0.010818398869709468
1.873817422860383e-05,3.7551020408163267,0.010821588908866725
3.7649358067924715e-05,4.3061224489795915,0.01082199937759418
7.56463327554629e-05,4.857142857142858,0.01083367572969104
1.747528400007683e-06,1.9183673469387754,0.010858709091217545
3.5111917342151275e-06,2.4693877551020407,0.010881285747296368
1.747528400007683e-06,1.7346938775510203,0.010881412667685678
5.336699231206313e-06,2.6530612244897958,0.010881651872668504
0.00023101297000831605,5.775510204081633,0.010884772547274792
1.6297508346206434e-05,3.5714285714285716,0.01089105649039684
7.0548023107186455e-06,3.0204081632653064,0.010899102380217855
0.02009233002565046,9.448979591836736,0.010901907596184002
0.00011497569953977356,5.224489795918368,0.010904975552529127
1.4174741629268048e-05,3.5714285714285716,0.010911319872143832
4.977023564332114e-05,4.4897959183673475,0.010913989016358363
5.72236765935022e-05,4.673469387755102,0.010915303273180165
2.8480358684358048e-05,4.122448979591837,0.010917049002708245
1.3219411484660288e-06,1.7346938775510203,0.01093074732510611
0.0007054802310718645,6.6938775510204085,0.010932728472855566
1.1497569953977357e-06,1.3673469387755102,0.010939733676673374
3.5111917342151275e-06,2.2857142857142856,0.010945499492711907
0.006579332246575682,8.53061224489796,0.01094624416500759
0.030538555088334186,9.816326530612246,0.010949582658918114
0.0001519911082952933,5.408163265306123,0.01095402859874888
0.0021544346900318843,7.612244897959184,0.010954483369798452
2.656087782946684e-06,2.2857142857142856,0.010956662348225626
1.072267222010323e-05,3.2040816326530615,0.010960340860553263
0.0003511191734215131,6.142857142857143,0.010967693565556196
5.336699231206313e-06,2.836734693877551,0.010978133181336303
3.274549162877732e-05,4.122448979591837,0.010988687332741057
0.00017475284000076848,5.591836734693878,0.010990937842802518
1.072267222010323e-05,3.3877551020408165,0.010994432134904485
1e-06,1.5510204081632653,0.01099818007215464
0.01,8.89795918367347,0.01100268334028559
8.697490026177834e-05,5.040816326530613,0.011004038021993512
2.1544346900318867e-05,3.938775510204082,0.01100477032632281
2.310129700083158e-06,1.9183673469387754,0.0110051129882841
0.0010722672220103231,7.061224489795919,0.011006892750855757
4.328761281083062e-05,4.4897959183673475,0.011008288406367328
0.0004641588833612782,6.326530612244898,0.011011013951205384
0.0032745491628777285,7.979591836734694,0.011019636857359062
7.0548023107186455e-06,2.836734693877551,0.011024837824691758
2.0092330025650458e-06,2.1020408163265305,0.01102693319758517
0.0001,5.040816326530613,0.011035389559737563
0.0005336699231206312,6.510204081632653,0.011045244161058851
4.037017258596558e-06,2.6530612244897958,0.011051524686856292
0.01519911082952933,9.26530612244898,0.011054379676670464
2.1544346900318867e-05,3.7551020408163267,0.0110582455605124
1.519911082952933e-06,1.5510204081632653,0.01106244283294198
8.111308307896873e-06,3.2040816326530615,0.011071310569416074
0.00026560877829466864,5.959183673469388,0.011071620973257392
0.001629750834620645,7.428571428571429,0.011075542423493864
0.0014174741629268048,7.244897959183674,0.011077079271096576
0.004977023564332114,8.346938775510203,0.011079590957739818
1.6297508346206434e-05,3.7551020408163267,0.011085597641796247
4.641588833612782e-06,2.4693877551020407,0.011085845887043195
0.00013219411484660288,5.408163265306123,0.011087665838189847
