multiplicative_factor,MAE
7.92482898353917e-05,0.011099064179170056
6.734150657750829e-05,0.011106401386473775
9.326033468832199e-05,0.01125648105852417
5.72236765935022e-05,0.011320953434317202
0.00010974987654930556,0.01141584574741222
4.8626015800653536e-05,0.011507231152046268
0.0001291549665014884,0.011585423270333354
4.1320124001153344e-05,0.01166750683823583
0.0001519911082952933,0.01177580461796852
3.511191734215127e-05,0.011804630840094935
2.9836472402833343e-05,0.011921565882197763
0.0001788649529057435,0.011997196582328682
2.5353644939701114e-05,0.012021152241243668
2.1544346900318823e-05,0.01210596046669001
1.8307382802953696e-05,0.01217821701354919
