,09/18/23 00:01:00
max_amp,0.10378540058075782
mean_amp,0.00314049934284494
median_amp,0.002982724867367341
impulses_ch6,7.0
impulses_ch5,33.0
impulses_ch4,161.0
impulses_ch3,1605.0
impulses_ch2,29016.0
impulses_ch1,145259.0
max_env_ch6,0.10378540058075782
mean_env_ch6,0.08749137208248663
median_env_ch6,0.1037570472478275
max_env_ch5,0.41514160232303127
mean_env_ch5,0.18524118105632326
median_env_ch5,0.07425048863439511
max_env_ch4,1.660566409292125
mean_env_ch4,0.3477251851505802
median_env_ch4,0.1492037804877236
max_env_ch3,6.6422656371685
mean_env_ch3,0.2725240536858793
median_env_ch3,0.22742885282483438
max_env_ch2,26.569062548674
mean_env_ch2,0.8476366552580425
median_env_ch2,0.781201208242654
max_env_ch1,106.276250194696
mean_env_ch1,3.2158713270732187
median_env_ch1,3.0543102641841573
