Date,avg_temp,max_temp,min_temp,avg_snow,total_precip
6/1/2021,46.20,58.80,36.90,-2.42,0.09
6/2/2021,47.40,58.00,37.90,-2.09,0.00
6/3/2021,49.70,65.10,41.40,-2.42,0.13
6/4/2021,54.20,68.40,39.40,-2.62,0.04
6/5/2021,56.00,71.00,48.00,-2.48,0.02
6/6/2021,55.90,67.80,49.30,-2.43,0.00
6/7/2021,57.80,69.80,47.60,-2.53,0.05
6/8/2021,57.90,68.30,47.40,-2.57,0.01
6/9/2021,59.20,71.80,47.30,-2.66,0.00
6/10/2021,61.40,72.30,50.20,-2.53,0.01
6/11/2021,60.90,73.60,49.40,-2.61,0.00
6/12/2021,60.60,73.30,48.20,-2.41,0.00
6/13/2021,64.00,77.00,46.60,-2.44,0.00
6/14/2021,67.10,80.00,55.40,-2.53,0.00
6/15/2021,63.20,73.90,54.30,-2.39,0.00
6/16/2021,65.30,77.80,54.90,-2.44,0.00
6/17/2021,63.10,72.80,50.70,-2.42,0.00
6/18/2021,60.70,74.10,50.80,-2.33,0.12
6/19/2021,61.50,73.80,50.50,-2.46,0.03
6/20/2021,64.20,75.50,55.40,-2.51,0.04
6/21/2021,61.10,69.40,52.80,-2.45,0.00
6/22/2021,62.40,74.80,51.70,-2.46,0.01
6/23/2021,61.00,72.80,47.60,-2.47,0.00
6/24/2021,53.90,65.20,45.80,-2.30,0.01
6/25/2021,54.20,63.50,46.60,-2.43,0.03
6/26/2021,52.60,64.60,42.80,-2.46,0.01
6/27/2021,42.30,48.70,37.20,11.07,0.80
6/28/2021,43.00,48.50,39.40,53.20,0.05
6/29/2021,41.90,44.40,40.40,59.04,0.20
6/30/2021,46.20,50.90,41.90,32.10,0.05
7/1/2021,51.90,63.10,43.00,6.24,0.59
7/2/2021,53.70,68.00,47.30,0.23,0.46
7/3/2021,56.80,70.20,47.20,-0.86,0.04
7/4/2021,59.70,71.30,51.90,-1.69,0.03
7/5/2021,55.60,65.20,48.70,-2.21,0.37
7/6/2021,56.40,68.10,47.00,-1.69,0.06
7/7/2021,54.20,62.60,46.70,3.12,0.05
7/8/2021,59.60,72.80,48.00,-1.56,0.00
7/9/2021,62.80,77.00,53.10,-2.48,0.24
7/10/2021,62.80,76.00,51.50,-2.51,0.17
7/11/2021,53.70,62.30,49.10,11.46,0.09
7/12/2021,54.90,65.30,47.60,12.10,0.22
7/13/2021,57.10,63.70,50.10,-2.32,0.00
7/14/2021,54.20,60.00,49.30,-1.79,0.00
7/15/2021,54.60,67.20,45.20,-1.55,0.38
7/16/2021,56.00,71.60,46.70,-1.65,0.74
7/17/2021,56.00,65.80,47.20,0.99,0.10
7/18/2021,56.20,68.40,47.50,-1.21,0.03
7/19/2021,57.40,70.10,47.90,17.91,0.03
7/20/2021,55.00,65.30,48.00,-2.04,0.01
7/21/2021,57.10,67.80,48.90,-2.12,0.11
7/22/2021,59.60,70.40,54.50,1.15,0.18
7/23/2021,54.00,68.00,46.40,9.49,0.91
7/24/2021,50.90,57.80,46.10,18.19,0.01
7/25/2021,52.20,62.90,44.30,25.61,0.08
7/26/2021,54.50,67.00,50.00,-1.76,0.02
7/27/2021,53.80,65.20,48.60,-0.20,0.12
7/28/2021,57.30,69.40,48.70,-0.18,0.02
7/29/2021,56.90,63.90,47.90,-1.83,0.00
7/30/2021,55.40,64.70,48.00,-1.89,0.00
7/31/2021,56.00,67.40,49.00,-2.18,0.00
8/1/2021,51.40,58.20,47.80,-2.33,0.01
8/2/2021,51.70,63.80,45.30,16.53,0.63
8/3/2021,53.80,63.50,48.30,0.15,0.02
8/4/2021,55.60,72.00,46.80,1.08,0.00
8/5/2021,57.00,66.50,47.00,-2.12,0.00
8/6/2021,60.40,70.70,52.20,-2.24,0.00
8/7/2021,58.50,66.60,51.30,-2.59,0.00
8/8/2021,59.10,71.00,49.20,-2.64,0.00
8/9/2021,62.10,70.30,54.60,-2.64,0.00
8/10/2021,57.80,67.90,51.40,-2.51,0.04
8/11/2021,58.60,70.50,51.40,-2.38,0.01
8/12/2021,56.60,67.90,47.20,-1.15,0.00
8/13/2021,54.20,67.50,46.00,9.35,0.00
8/14/2021,51.20,61.80,43.40,23.01,0.00
8/15/2021,54.10,68.10,45.20,-2.30,0.53
8/16/2021,51.40,62.60,45.30,-2.50,0.14
8/17/2021,56.80,68.80,43.60,-2.35,0.00
8/18/2021,54.70,64.90,47.20,-2.38,0.03
8/19/2021,49.40,56.90,44.00,0.14,0.00
8/20/2021,51.00,63.40,41.80,-2.40,0.00
8/21/2021,54.10,63.50,42.90,-2.63,0.00
8/22/2021,55.20,66.10,46.60,-2.20,0.00
8/23/2021,57.30,66.80,48.70,-2.43,0.00
8/24/2021,57.90,70.20,48.70,-2.68,0.00
8/25/2021,61.20,76.50,50.80,-2.69,0.00
8/26/2021,58.00,69.80,47.30,-2.55,0.02
8/27/2021,54.90,65.40,47.00,-2.36,0.06
8/28/2021,56.70,67.90,49.20,-2.40,0.00
8/29/2021,55.00,63.80,47.00,-2.40,0.16
8/30/2021,55.70,67.00,46.80,-2.36,0.04
8/31/2021,56.90,67.10,50.10,0.05,0.00
9/1/2021,50.00,56.60,45.10,17.97,0.58
9/2/2021,49.60,61.80,44.50,34.57,0.00
9/3/2021,53.30,64.60,43.60,-1.57,0.00
9/4/2021,56.00,66.20,47.70,-1.81,0.00
9/5/2021,55.20,66.70,45.90,-2.42,0.00
9/6/2021,58.70,69.60,50.10,-2.25,0.00
9/7/2021,60.60,73.30,51.70,-2.72,0.00
9/8/2021,58.70,69.00,48.90,-2.61,0.00
9/9/2021,62.30,78.40,53.50,-2.75,0.00
9/10/2021,62.00,74.10,51.40,-2.67,0.00
9/11/2021,61.50,70.80,52.40,-2.62,0.00
9/12/2021,60.70,70.20,47.90,-2.79,0.00
9/13/2021,60.10,70.80,53.00,-2.57,0.00
9/14/2021,57.80,68.40,51.10,-2.53,0.00
9/15/2021,57.60,69.90,47.40,-2.76,0.00
9/16/2021,56.50,64.90,48.10,-2.68,0.00
9/17/2021,56.50,68.20,47.80,-2.73,0.00
9/18/2021,56.00,64.60,47.10,-2.48,0.04
9/19/2021,51.70,60.10,44.00,-2.45,0.02
9/20/2021,48.80,60.50,38.30,-2.29,0.00
9/21/2021,44.60,56.20,31.10,-2.75,0.00
9/22/2021,51.10,65.20,40.60,-2.68,0.00
9/23/2021,52.70,64.50,45.40,-2.58,0.00
9/24/2021,51.90,63.90,40.50,-2.69,0.00
9/25/2021,50.70,60.90,43.20,-2.56,0.00
9/26/2021,46.10,58.20,40.10,-2.50,0.00
9/27/2021,43.90,52.50,38.10,-2.01,0.00
9/28/2021,40.80,48.10,37.40,19.02,0.03
9/29/2021,42.20,53.30,37.90,43.60,0.00
9/30/2021,35.50,39.30,31.10,66.84,0.97
10/1/2021,33.80,44.00,29.50,108.50,0.58
10/2/2021,38.90,49.10,31.20,58.12,0.01
10/3/2021,43.20,54.00,34.20,3.45,0.00
10/4/2021,46.50,60.50,35.20,2.01,0.00
10/5/2021,46.90,55.00,38.30,5.14,0.00
10/6/2021,42.70,52.70,36.50,29.05,0.08
10/7/2021,45.80,56.40,39.10,16.89,0.00
10/8/2021,47.30,57.30,40.30,11.86,0.00
10/9/2021,41.80,49.20,35.90,5.68,0.00
10/10/2021,36.10,45.20,29.40,0.28,0.00
10/11/2021,38.70,47.30,30.10,-1.58,0.00
10/12/2021,26.10,34.90,17.60,62.25,0.03
10/13/2021,27.60,38.90,17.70,57.36,0.10
10/14/2021,28.40,36.00,21.30,2.85,0.00
10/15/2021,31.20,43.90,15.40,0.14,0.00
10/16/2021,40.70,53.20,29.00,-1.92,0.00
10/17/2021,42.50,53.30,32.20,-1.14,0.00
10/18/2021,42.20,49.60,37.10,-1.79,0.36
10/19/2021,33.70,41.30,28.70,-1.83,0.00
10/20/2021,38.10,51.70,26.20,-2.03,0.02
10/21/2021,41.70,53.80,33.70,-1.98,0.01
10/22/2021,43.50,52.90,36.10,-1.98,0.01
10/23/2021,40.00,49.00,32.30,-1.91,0.00
10/24/2021,38.40,49.00,29.70,-1.91,0.00
10/25/2021,45.80,57.40,37.50,-1.95,0.01
10/26/2021,30.00,43.40,18.40,66.29,0.09
10/27/2021,25.60,36.30,15.80,45.08,0.04
10/28/2021,40.30,53.60,30.50,-1.97,0.07
10/29/2021,42.00,51.60,33.80,-2.01,0.02
10/30/2021,43.90,58.90,35.70,-2.00,0.01
10/31/2021,40.00,49.40,33.00,-1.91,0.00
11/1/2021,38.00,47.00,32.60,-1.89,0.00
11/2/2021,35.00,40.50,31.30,-1.81,0.00
11/3/2021,34.60,49.50,27.20,-1.97,0.00
11/4/2021,37.50,49.10,29.20,-1.92,0.00
11/5/2021,44.80,60.90,34.20,-2.11,0.00
11/6/2021,45.20,54.80,37.40,-1.99,0.01
11/7/2021,43.30,53.00,36.90,-1.93,0.00
11/8/2021,42.30,52.50,37.40,-1.93,0.00
11/9/2021,37.10,48.30,27.40,-1.82,0.00
11/10/2021,29.80,38.90,24.90,21.65,0.00
11/11/2021,32.30,47.40,24.30,-1.98,0.00
11/12/2021,38.00,52.00,29.70,-1.96,0.00
11/13/2021,38.60,49.10,32.30,-1.92,0.00
11/14/2021,40.50,54.40,32.50,-1.96,0.00
11/15/2021,44.40,60.50,37.70,-1.99,0.01
11/16/2021,38.40,47.80,31.80,-1.89,0.00
11/17/2021,33.00,42.80,26.30,-1.96,0.00
11/18/2021,31.20,39.50,23.80,-1.93,0.00
11/19/2021,33.90,41.10,28.90,-1.90,0.00
11/20/2021,33.80,44.00,27.00,-1.92,0.00
11/21/2021,28.90,42.00,19.70,-2.04,0.00
11/22/2021,40.00,59.00,30.70,-2.22,0.01
11/23/2021,33.50,41.30,27.70,15.98,0.00
11/24/2021,23.70,27.80,15.90,106.70,0.30
11/25/2021,23.80,37.10,13.80,78.04,0.00
11/26/2021,34.00,51.80,25.70,29.35,0.00
11/27/2021,36.20,48.70,28.60,24.73,0.00
11/28/2021,38.80,53.90,29.10,27.92,0.00
11/29/2021,43.00,56.20,35.80,3.09,0.00
11/30/2021,42.40,58.90,34.30,-2.15,0.00
12/1/2021,45.20,62.20,36.30,-2.10,0.00
12/2/2021,39.20,50.50,33.30,-1.97,0.00
12/3/2021,39.80,57.30,31.70,-2.02,0.00
12/4/2021,35.60,46.90,29.40,-1.91,0.00
12/5/2021,33.00,46.60,27.10,-1.86,0.00
12/6/2021,31.80,37.50,27.90,-1.87,0.01
12/7/2021,24.30,29.00,20.30,-1.81,0.00
12/8/2021,26.50,32.90,20.30,-1.82,0.00
12/9/2021,24.80,30.90,21.90,-0.01,0.00
12/10/2021,13.30,24.10,0.60,101.90,0.07
12/11/2021,16.60,27.60,-1.10,59.57,0.17
12/12/2021,32.50,41.50,25.60,8.87,0.06
12/13/2021,31.80,39.10,26.00,6.59,0.00
12/14/2021,30.60,34.00,25.60,76.25,0.11
12/15/2021,18.10,30.80,8.90,110.00,0.45
12/16/2021,26.70,35.40,17.10,109.70,0.00
12/17/2021,19.10,28.80,9.60,108.60,0.00
12/18/2021,18.30,42.60,5.20,105.50,0.00
12/19/2021,23.70,38.10,14.00,106.60,0.00
12/20/2021,28.40,42.20,19.80,104.80,0.00
12/21/2021,30.20,40.10,25.10,105.70,0.00
12/22/2021,31.20,42.30,25.50,56.10,0.00
12/23/2021,30.80,32.90,28.10,82.89,0.00
12/24/2021,27.00,31.20,23.60,108.50,0.32
12/25/2021,25.70,27.10,24.00,105.10,0.00
12/26/2021,21.10,25.10,17.30,103.70,0.00
12/27/2021,15.50,16.90,14.40,110.00,0.00
12/28/2021,13.20,14.80,12.10,110.00,0.00
12/29/2021,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
12/30/2021,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
12/31/2021,23.60,24.40,21.70,110.00,0.35
1/1/2022,11.80,23.30,-4.90,109.90,0.64
1/2/2022,13.50,37.40,-4.90,109.40,0.00
1/3/2022,24.80,33.20,15.80,109.40,0.00
1/4/2022,24.10,32.50,19.90,81.66,0.00
1/5/2022,24.20,31.90,18.90,101.40,0.00
1/6/2022,29.10,38.40,24.40,56.46,0.00
1/7/2022,31.60,40.00,27.30,16.18,0.00
1/8/2022,24.00,29.90,18.70,18.74,0.00
1/9/2022,22.20,44.20,12.00,20.90,0.00
1/10/2022,24.20,34.40,15.50,27.62,0.00
1/11/2022,29.30,50.90,16.70,14.60,0.00
1/12/2022,34.60,48.30,26.50,14.65,0.00
1/13/2022,39.90,69.20,30.30,14.45,0.00
1/14/2022,28.80,39.60,17.10,25.25,0.00
1/15/2022,24.50,41.80,10.70,16.32,0.00
1/16/2022,33.00,49.70,25.80,14.38,0.00
1/17/2022,30.80,41.90,24.60,16.64,0.00
1/18/2022,24.40,32.90,19.30,16.28,0.00
1/19/2022,21.00,34.50,13.00,21.28,0.00
1/20/2022,19.80,31.80,13.10,46.46,0.00
1/21/2022,23.90,36.00,17.60,36.40,0.00
1/22/2022,20.70,36.60,15.40,13.76,0.00
1/23/2022,24.00,47.10,13.70,13.79,0.00
1/24/2022,27.90,53.80,19.50,14.92,0.00
1/25/2022,22.80,33.80,13.20,20.30,0.00
1/26/2022,13.30,21.30,8.00,57.23,0.00
1/27/2022,16.50,29.10,6.30,86.41,0.00
1/28/2022,22.00,47.50,3.80,66.16,0.00
1/29/2022,32.90,58.00,13.80,24.36,0.00
1/30/2022,26.10,38.80,18.30,56.07,0.00
1/31/2022,29.70,40.10,23.50,69.07,0.00
2/1/2022,21.90,26.50,16.90,21.57,0.00
2/2/2022,13.10,18.00,2.00,106.90,0.93
2/3/2022,4.20,21.70,-5.60,110.00,0.00
2/4/2022,15.00,39.00,-0.70,67.32,0.00
2/5/2022,23.10,35.20,9.60,28.54,0.00
2/6/2022,14.40,29.20,2.40,64.17,0.00
2/7/2022,22.70,48.30,8.80,109.40,0.00
2/8/2022,31.50,62.30,17.70,45.83,0.00
2/9/2022,28.50,45.00,21.60,35.66,0.00
2/10/2022,27.40,39.80,18.60,26.14,0.00
2/11/2022,33.30,60.50,23.60,21.00,0.00
2/12/2022,20.50,34.50,7.50,19.44,0.00
2/13/2022,28.70,46.20,19.10,19.34,0.00
2/14/2022,30.70,43.60,22.90,19.34,0.00
2/15/2022,31.80,38.90,27.10,19.19,0.00
2/16/2022,21.90,33.40,15.60,39.85,0.00
2/17/2022,13.70,23.80,8.90,96.27,0.03
2/18/2022,23.10,43.60,8.10,48.92,0.08
2/19/2022,26.80,38.60,11.60,21.56,0.01
2/20/2022,29.20,38.50,22.50,21.71,0.00
2/21/2022,23.90,32.10,16.90,20.49,0.00
2/22/2022,20.00,27.00,14.40,21.65,0.00
2/23/2022,17.20,27.10,10.20,24.04,0.00
2/24/2022,7.90,17.30,2.40,41.79,0.15
2/25/2022,17.60,29.10,5.70,21.23,0.08
2/26/2022,20.30,43.10,8.90,20.58,0.04
2/27/2022,28.50,52.00,8.60,20.41,0.03
2/28/2022,36.50,61.20,26.20,20.13,0.02
3/1/2022,32.20,45.50,23.00,19.91,0.00
3/2/2022,36.80,59.10,24.00,19.38,0.04
3/3/2022,35.10,46.50,26.90,19.31,0.00
3/4/2022,30.30,41.20,17.90,20.60,0.00
3/5/2022,19.60,25.60,15.90,34.60,0.00
3/6/2022,13.40,20.10,8.60,33.43,0.00
3/7/2022,13.10,19.50,8.00,30.43,0.15
3/8/2022,13.20,31.20,-0.80,33.28,0.20
3/9/2022,18.10,26.20,9.70,22.83,0.00
3/10/2022,15.80,20.50,8.40,67.56,0.20
3/11/2022,14.10,24.00,0.10,76.30,0.00
3/12/2022,26.90,49.20,12.70,25.78,0.04
3/13/2022,29.30,38.70,21.50,23.08,0.00
3/14/2022,29.50,47.50,17.50,23.12,0.00
3/15/2022,34.60,46.20,23.80,23.08,0.02
3/16/2022,34.40,44.40,25.50,22.54,0.00
3/17/2022,23.20,33.90,16.90,48.47,0.10
3/18/2022,24.70,38.00,14.40,48.76,0.06
3/19/2022,30.70,42.60,19.10,22.54,0.04
3/20/2022,32.00,42.00,23.00,22.42,0.00
3/21/2022,25.70,41.50,18.70,28.49,0.00
3/22/2022,21.70,39.70,13.40,40.84,0.18
3/23/2022,21.70,34.00,8.70,27.29,0.06
3/24/2022,35.80,51.10,23.20,24.48,0.07
3/25/2022,41.30,62.50,29.60,22.50,0.03
3/26/2022,45.10,59.20,35.80,20.63,0.01
3/27/2022,46.20,57.90,39.00,18.15,0.00
3/28/2022,39.90,48.60,33.50,16.15,0.00
3/29/2022,25.50,33.00,22.20,35.41,0.03
3/30/2022,25.20,30.10,20.20,18.67,0.18
3/31/2022,29.20,47.30,18.40,26.73,0.00
4/1/2022,29.60,43.50,23.90,36.17,0.12
4/2/2022,38.40,48.40,27.40,18.23,0.03
4/3/2022,37.80,48.60,31.10,16.82,0.00
4/4/2022,34.10,43.30,23.10,15.24,0.00
4/5/2022,39.00,48.00,31.80,13.57,0.12
4/6/2022,30.60,38.70,22.50,11.90,0.00
4/7/2022,32.50,47.20,21.50,11.13,0.00
4/8/2022,38.90,51.60,24.10,9.73,0.00
4/9/2022,41.50,50.90,33.80,7.89,0.00
4/10/2022,34.80,41.10,28.30,6.55,0.00
4/11/2022,35.40,48.80,25.40,5.62,0.00
4/12/2022,25.70,33.70,11.90,5.57,0.00
4/13/2022,16.70,25.80,7.10,8.02,0.00
4/14/2022,29.30,40.30,17.10,4.44,0.00
4/15/2022,36.50,46.50,26.60,3.12,0.00
4/16/2022,40.00,51.30,30.20,1.25,0.01
4/17/2022,39.10,49.80,28.40,-1.12,0.00
4/18/2022,43.10,52.80,33.30,-1.28,0.00
4/19/2022,43.00,51.30,32.80,-1.28,0.03
4/20/2022,43.60,53.90,33.80,-1.30,0.00
4/21/2022,45.80,57.20,35.20,-1.30,0.00
4/22/2022,41.50,57.60,21.80,-1.26,0.06
4/23/2022,26.20,37.00,17.60,-1.25,0.00
4/24/2022,30.10,40.90,20.90,-1.32,0.00
4/25/2022,32.00,44.90,21.80,-1.30,0.00
4/26/2022,38.40,50.20,25.60,-1.24,0.00
4/27/2022,45.20,56.00,36.30,-1.25,0.00
4/28/2022,43.70,54.50,34.70,-1.31,0.00
4/29/2022,37.90,48.80,28.20,-1.29,0.01
4/30/2022,41.40,53.40,28.90,-1.29,0.00
5/1/2022,46.20,57.60,38.40,-1.28,0.00
5/2/2022,40.70,49.90,30.10,-1.26,0.00
5/3/2022,44.50,57.20,34.30,-1.24,0.00
5/4/2022,31.90,39.50,25.30,-1.24,0.00
5/5/2022,39.10,52.70,23.20,-1.30,0.00
5/6/2022,49.90,60.90,40.20,-1.28,0.00
5/7/2022,51.70,63.80,42.10,-1.26,0.00
5/8/2022,48.00,60.80,38.90,-1.25,0.00
5/9/2022,45.40,56.40,34.60,-1.25,0.01
5/10/2022,49.20,60.20,37.20,-1.26,0.00
5/11/2022,51.20,62.70,41.10,-1.23,0.00
5/12/2022,43.00,51.20,33.30,-1.28,0.00
