measured,maxamp,imps_ch2,imps_maxamp_ch1,impsmaxamp_ch1,impsmaxamp_ch2,impsmaxamp_ch3,individual_power_ch2,
90,99.72716776,32.34214749,116.9091354,82.59702247,72.40427491,68.9578073,72.40427491,72.40427491
45,37.90452964,25.96062025,42.32586126,33.53705447,26.81702191,23.32468324,26.81702191,26.81702191
90,95.38925808,27.50976112,102.3415813,87.59920161,63.80069317,40.96219285,63.80069317,63.80069317
128,56.5465097,148.3543069,47.11954192,69.98959212,97.51347842,149.6318937,80.2738771,80.2738771
64,54.45408382,130.2718072,54.39228714,54.63583761,87.93408146,97.55803785,75.46339607,75.46339607
128,108.5914537,116.920185,110.2091326,106.2283162,155.1054104,187.0632194,124.5979985,124.5979985
