event,datetime,tauc
1,8/3/2022 15:00,0.099375708
2,8/8/2022 14:30,0.103891864
3,4/15/2023 13:45,0.142543903
4,4/27/2023 15:30,0.159494013
5,7/29/2023 15:45,0.112924239
6,9/14/2023 22:45,0.09763992
