event,datetime,tauc
1,8/3/2022 15:00,0.099375708
2,8/8/2022 14:30,0.103891864
3,4/15/2023 13:45,0.142543903
4,4/19/2023 15:45,0.167370997
5,4/21/2023 22:45,0.153616082
6,4/22/2023 15:30,0.151435179
7,4/23/2023 17:15,0.160990665
8,4/27/2023 15:30,0.159494013
9,4/30/2023 8:15,0.162647812
10,4/30/2023 13:30,0.16500397
11,5/2/2023 15:15,0.167623961
12,5/3/2023 11:00,0.163871159
13,5/4/2023 9:00,0.171468851
14,7/29/2023 15:45,0.112924239
15,9/14/2023 22:45,0.09763992
