,7/29/2023 0:00,7/29/2023 0:15,7/29/2023 0:30,7/29/2023 0:45,7/29/2023 1:00,7/29/2023 1:15,7/29/2023 1:30,7/29/2023 1:45,7/29/2023 2:00,7/29/2023 2:15,7/29/2023 2:30,7/29/2023 2:45,7/29/2023 3:00,7/29/2023 3:15,7/29/2023 3:30,7/29/2023 3:45,7/29/2023 4:00,7/29/2023 4:15,7/29/2023 4:30,7/29/2023 4:45,7/29/2023 5:00,7/29/2023 5:15,7/29/2023 5:30,7/29/2023 5:45,7/29/2023 6:00,7/29/2023 6:15,7/29/2023 6:30,7/29/2023 6:45,7/29/2023 7:00,7/29/2023 7:15,7/29/2023 7:30,7/29/2023 7:45,7/29/2023 8:00,7/29/2023 8:15,7/29/2023 8:30,7/29/2023 8:45,7/29/2023 9:00,7/29/2023 9:15,7/29/2023 9:30,7/29/2023 9:45,7/29/2023 10:00,7/29/2023 10:15,7/29/2023 10:30,7/29/2023 10:45,7/29/2023 11:00,7/29/2023 11:15,7/29/2023 11:30,7/29/2023 11:45,7/29/2023 12:00,7/29/2023 12:15,7/29/2023 12:30,7/29/2023 12:45,7/29/2023 13:00,7/29/2023 13:15,7/29/2023 13:30,7/29/2023 13:45,7/29/2023 14:00,7/29/2023 14:15,7/29/2023 14:30,7/29/2023 14:45,7/29/2023 15:00,7/29/2023 15:15,7/29/2023 15:30,7/29/2023 15:45,7/29/2023 16:00,7/29/2023 16:15,7/29/2023 16:30,7/29/2023 16:32,7/29/2023 16:45,7/29/2023 17:00,7/29/2023 17:15,7/29/2023 17:30,7/29/2023 17:45,7/29/2023 18:00,7/29/2023 18:15,7/29/2023 18:30,7/29/2023 18:45,7/29/2023 19:00,7/29/2023 19:15,7/29/2023 19:30,7/29/2023 19:45,7/29/2023 20:00,7/29/2023 20:15,7/29/2023 20:30,7/29/2023 20:45,7/29/2023 21:00,7/29/2023 21:15,7/29/2023 21:30,7/29/2023 21:45,7/29/2023 22:00,7/29/2023 22:15,7/29/2023 22:30,7/29/2023 22:45,7/29/2023 23:00,7/29/2023 23:15,7/29/2023 23:30,7/29/2023 23:45,7/30/2023 0:00
max_amp,0.000797271,0.001077922,0.001578142,0.000683112,0.001794007,0.001766734,0.001792372,0.000958394,0.001495858,0.000865812,0.001052458,0.001175293,0.000913268,0.001226024,0.001167213,0.000549221,0.001255234,0.002235302,0.001137901,0.000836331,0.001076113,0.00122993,0.000835049,0.001189718,0.001758925,0.001054157,0.001347283,0.000662919,0.000949837,0.001775467,0.001946964,0.001779561,0.001789893,0.001848633,0.001433468,0.001617716,0.001174172,0.00159431,0.001237181,0.001445596,0.001047712,0.001533069,0.001057372,0.000685893,0.000390995,0.000851072,0.000545,0.000947709,0.001275958,0.000785494,0.000895924,0.00108679,0.000578423,0.001045024,0.001240369,0.002407721,0.003076174,0.002142469,0.003552134,0.010547836,0.068858167,0.067877334,0.094235257,0.181007106,0.066035858,0.020302071,0.050887767,0.033177719,0.014793925,0.023797551,0.007581994,0.008514085,0.006344053,0.006827932,0.00443102,0.005564994,0.004135507,0.0034819,0.004526894,0.002508328,0.003138466,0.003445709,0.005582235,0.005140505,0.004370101,0.004820141,0.002745697,0.002815409,0.002256034,0.003663241,0.001998,0.002716486,0.0018375,0.002230704,0.001723854,0.00199776,0.002348276,0.001801328
mean_amp,0.000643907,0.000850926,0.001036719,0.000538143,0.001270027,0.001065749,0.001220192,0.000675116,0.001174116,0.000660094,0.000792396,0.000837694,0.000777028,0.000991932,0.000799957,0.000432546,0.000811442,0.00140167,0.000801019,0.000650789,0.000838023,0.000855762,0.000652153,0.000767636,0.000977746,0.000664884,0.000929903,0.000489388,0.000680274,0.001141837,0.001324113,0.001138062,0.001379973,0.001362784,0.001152645,0.001089372,0.000867647,0.000892215,0.000922272,0.001126025,0.000764137,0.000844438,0.000743354,0.000525312,0.000308825,0.000631966,0.00043165,0.00059582,0.000763603,0.000620988,0.000705833,0.000858399,0.000382462,0.00064544,0.0009235,0.001755763,0.002049465,0.001648875,0.002383276,0.007805345,0.054014206,0.051973154,0.068363942,0.13062475,0.045992719,0.016695962,0.040321151,0.024962303,0.011434913,0.01569029,0.005329124,0.00592541,0.004899395,0.004787857,0.003209887,0.003616777,0.002891049,0.002347579,0.003153803,0.001924661,0.002129925,0.002440593,0.003293882,0.002584321,0.002888695,0.003270501,0.001973641,0.001520916,0.001703403,0.002474775,0.001438177,0.001758654,0.001401664,0.001627169,0.001330262,0.001596787,0.00164676,0.001397242
median_amp,0.000647703,0.00084479,0.001012207,0.000542324,0.001241446,0.001040377,0.00119304,0.000666237,0.001160188,0.000637189,0.000776926,0.000818817,0.000776241,0.000988852,0.000781477,0.000427148,0.000798602,0.001351729,0.000779532,0.000626239,0.000819142,0.000826691,0.000655628,0.000757299,0.000937659,0.000638028,0.000922933,0.000484391,0.000681915,0.001125307,0.001278616,0.001125952,0.001375953,0.001343155,0.001140678,0.001085776,0.000836118,0.00087225,0.00089624,0.001119205,0.000755834,0.000836488,0.000737927,0.000525022,0.000309968,0.000624235,0.000442555,0.000581831,0.000749056,0.000621397,0.000708775,0.000851778,0.000376842,0.000636982,0.000904631,0.001723259,0.001988988,0.001629855,0.002338596,0.007775188,0.053783229,0.051646552,0.069088022,0.130226357,0.04466739,0.016371988,0.039684499,0.024725098,0.011166272,0.015681842,0.005213306,0.005816052,0.004811447,0.004744598,0.003206767,0.00349971,0.002808009,0.00231643,0.003122284,0.001935909,0.0020309,0.002418125,0.00337793,0.002481203,0.002783597,0.003134137,0.001969874,0.001483166,0.001662337,0.002423893,0.001398131,0.001747726,0.001376055,0.00161894,0.001312874,0.001607333,0.001617712,0.001397837
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,47,388,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258,1665,4470,12842,1133,45,786,168,7,39,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,12,393,19714,17758,18813,11749,15814,3242,12853,6746,1189,2646,145,173,116,101,42,57,20,17,36,5,6,10,68,27,22,54,4,1,1,8,2,1,1,2,0,1,1,0
impulses_ch2,4,23,42,1,97,72,88,13,74,8,14,35,25,30,21,6,19,155,20,18,23,28,6,16,57,15,63,3,12,73,122,72,94,140,53,67,20,20,40,53,12,29,22,2,0,6,8,5,17,7,8,27,1,12,79,320,498,244,851,15783,7947,7748,6500,3176,8793,16654,9532,13439,13828,17407,5120,6141,4342,4081,1639,2101,1322,681,1873,401,611,1165,2161,1237,1450,2158,553,237,338,1067,193,397,181,308,145,325,300,186
impulses_ch1,1210,2773,4656,708,8187,4732,7451,1437,6938,1396,2451,2475,1991,4481,2407,288,2468,9874,2421,1248,2613,3203,1412,2119,4577,1330,3318,555,1189,5417,7208,5096,7929,9329,6943,5718,3378,3554,3550,5665,2228,2753,2104,639,76,1185,439,956,1958,1123,1670,3684,209,1266,3204,13690,16994,12044,18200,14598,1991,1939,1496,1845,2303,6392,2539,4406,8822,7982,17549,16572,18434,18856,18163,19599,17955,14916,20468,12194,14138,13930,18291,15386,18351,20556,12283,8582,10973,18504,8441,12461,8927,11113,7644,11096,12211,8427
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138624154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
